Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,910,27.0,292.0,130.0,304.0,495.0,7-2-0,9
2,1305,26.0,210.0,95.0,316.0,445.0,7-2-0,9
3,2056,25.0,280.0,215.0,378.0,475.0,7-2-0,9
4,4917,24.0,268.0,110.0,263.0,445.0,7-2-0,9
5,4678,24.0,240.0,105.0,258.0,520.0,7-2-0,9
6,4688,24.0,174.0,100.0,109.0,440.0,6-3-0,9
7,4976,23.0,266.0,130.0,210.0,470.0,6-3-0,9
8,1360,23.0,221.0,140.0,161.0,475.0,6-3-0,9
9,2200,23.0,215.0,220.0,197.0,445.0,6-3-0,9
10,4946,21.0,231.0,110.0,238.0,455.0,7-2-0,9
11,2852,21.0,226.0,120.0,236.0,450.0,6-3-0,9
12,6110,21.0,197.0,120.0,112.0,465.0,7-2-0,9
13,5885,21.0,190.0,120.0,205.0,445.0,5-4-0,9
14,3571,21.0,147.0,85.0,109.0,405.0,7-2-0,9
15,2234,20.0,221.0,110.0,123.0,495.0,6-3-0,9
16,5024,19.0,203.0,100.0,200.0,420.0,6-3-0,9
17,5426,19.0,198.0,145.0,102.0,460.0,5-4-0,9
18,771,19.0,198.0,85.0,97.0,445.0,6-3-0,9
19,4343,19.0,196.0,130.0,159.0,450.0,4-5-0,9
20,6202,19.0,189.0,125.0,155.0,455.0,5-4-0,9
21,4920,18.0,260.0,150.0,274.0,435.0,5-4-0,9
22,772,18.0,249.0,115.0,215.0,450.0,5-4-0,9
23,4940,18.0,224.0,165.0,97.0,530.0,5-4-0,9
24,4951,18.0,206.0,115.0,136.0,425.0,5-4-0,9
25,2386,18.0,180.0,145.0,89.0,440.0,5-4-0,9
26,1334,17.0,222.0,100.0,133.0,460.0,5-4-0,9
27,2609,16.0,215.0,75.0,233.0,380.0,5-4-0,9
28,5408,16.0,213.0,95.0,184.0,405.0,5-4-0,9
29,4938,16.0,178.0,115.0,116.0,405.0,3-6-0,9
30,4914,15.0,216.0,110.0,90.0,405.0,5-4-0,9
31,4903,15.0,206.0,130.0,196.0,445.0,3-6-0,9
32,4902,15.0,172.0,95.0,112.0,440.0,3-6-0,9
33,5039,14.0,238.0,110.0,106.0,475.0,3-6-0,9
34,6130,14.0,190.0,125.0,104.0,430.0,4-5-0,9
35,4716,14.0,156.0,120.0,104.0,395.0,4-5-0,9
36,4921,14.0,131.0,75.0,96.0,390.0,4-5-0,9
37,6046,13.0,192.0,90.0,90.0,430.0,3-6-0,9
38,5883,13.0,191.0,100.0,88.0,415.0,4-5-0,9
39,6162,13.0,125.0,100.0,124.0,360.0,4-5-0,9
40,677,12.0,193.0,75.0,80.0,390.0,4-5-0,9
41,4936,12.0,170.0,75.0,119.0,430.0,2-7-0,9
42,5288,12.0,166.0,95.0,169.0,375.0,3-6-0,9
43,5689,12.0,104.0,90.0,62.0,345.0,4-5-0,9
44,1075,11.0,214.0,110.0,138.0,415.0,3-6-0,9
45,6135,11.0,177.0,95.0,57.0,430.0,2-7-0,9
46,6052,10.0,184.0,90.0,74.0,430.0,2-7-0,9
47,5409,10.0,167.0,115.0,128.0,405.0,2-7-0,9
48,4992,10.0,129.0,100.0,69.0,340.0,4-5-0,9
49,4932,9.0,174.0,100.0,64.0,410.0,2-7-0,9
50,4923,6.0,168.0,60.0,60.0,380.0,1-8-0,9
51,4595,5.0,126.0,60.0,66.0,335.0,1-8-0,9
52,3756,4.0,177.0,70.0,69.0,350.0,1-8-0,9
