Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,4384,68.25,20,240,220,185,178,12
2,4362,62.58,16,288,140,77,242,12
3,4004,61.41,4,176,320,76,164,12
4,862,59.5,20,168,280,64,188,12
5,5710,58.66,0,148,300,92,182,12
6,4003,58.08,124,132,180,87,174,12
7,4325,57.58,4,112,340,65,176,12
8,1189,55.91,4,140,200,153,174,12
9,5114,54.66,0,184,200,78,206,12
10,494,54.5,4,204,200,86,172,12
11,66,53.91,8,184,160,107,194,12
12,3668,53.08,4,112,300,83,156,12
13,107,53.08,0,248,80,115,200,12
14,1896,52.33,8,104,280,98,144,12
15,245,50.33,20,112,240,110,134,12
16,1918,49.5,0,220,120,88,178,12
17,3658,48.5,20,116,240,82,136,12
18,5530,48.0,20,168,140,86,168,12
19,3357,47.58,0,164,120,75,218,12
20,3322,47.5,20,164,180,76,160,12
21,5704,47.16,4,136,200,86,164,12
22,1504,46.0,0,148,200,62,166,12
23,3572,45.25,24,132,200,74,140,12
24,830,44.41,0,128,120,115,182,12
25,2771,43.16,0,80,220,96,152,12
26,5685,41.08,0,128,100,57,226,12
27,4327,40.16,20,72,180,60,168,12
28,297,39.83,0,100,160,39,206,12
29,2611,39.75,32,112,80,105,160,12
30,5067,39.5,28,132,80,74,166,12
31,3536,36.91,0,124,120,51,166,12
32,141,35.91,4,88,140,25,180,12
33,3655,35.25,4,112,100,103,110,12
34,5561,33.91,4,92,140,99,108,12
35,1076,33.83,20,72,120,62,138,12
36,5436,32.58,4,68,180,61,90,12
37,5234,32.08,28,88,80,73,122,12
38,4776,32.0,0,60,160,32,150,12
39,5256,29.75,0,92,80,91,118,12
40,302,24.66,0,64,60,46,138,12
