1994cmp_0,Chairman's Award Winner,frc191,
1994cmp_1,Championship Winner,frc144,
1994cmp_10,Rookie All-Star,frc80,
1994cmp_10,Rookie All-Star,frc98,
1994cmp_19,Sportsmanship-GP,frc151,
1994cmp_20,Creativity,frc157,
1994cmp_39,#1 Seed,frc213,
1994cmp_44,Best Play of the Day Award,frc148,
1994cmp_46,Most Photogenic Award,frc73,
