Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,2630,9,1,0,10,18.00,40.90,81
2,3075,8,2,0,10,16.00,39.80,89
3,1574,8,2,0,10,16.00,37.20,98
4,1573,7,3,0,10,14.00,42.30,89
5,1946,7,3,0,10,14.00,40.40,85
6,1657,7,3,0,10,14.00,37.90,79
7,1690,7,3,0,10,14.00,36.70,87
8,2231,7,3,0,10,14.00,34.40,85
9,3052,7,3,0,10,14.00,34.10,76
10,1957,6,4,0,10,12.00,46.70,89
11,3076,6,4,0,10,12.00,40.90,87
12,2669,6,4,0,10,12.00,38.10,74
13,3065,6,4,0,10,12.00,36.20,81
14,2215,6,4,0,10,12.00,35.80,70
15,3063,6,4,0,10,12.00,35.20,82
16,1577,6,4,0,10,12.00,34.60,76
17,3083,6,4,0,10,12.00,33.60,64
18,2212,6,4,0,10,12.00,32.70,68
19,3064,6,3,0,9,12.00,31.60,85
20,2230,5,5,0,10,10.00,39.70,63
21,2214,5,5,0,10,10.00,37.90,56
22,3073,5,5,0,10,10.00,36.90,70
23,1942,5,5,0,10,10.00,35.90,68
24,3089,5,5,0,10,10.00,35.80,98
25,2650,5,5,0,10,10.00,35.60,68
26,1937,5,5,0,10,10.00,33.50,60
27,3034,5,5,0,10,10.00,32.90,70
28,2216,4,6,0,10,8.00,41.60,56
29,3077,4,6,0,10,8.00,41.20,66
30,1576,4,6,0,10,8.00,39.20,72
31,2217,4,6,0,10,8.00,36.20,76
32,2672,4,6,0,10,8.00,36.10,54
33,3086,4,5,0,9,8.00,35.80,70
34,1955,4,6,0,10,8.00,33.70,56
35,3092,4,6,0,10,8.00,32.40,98
36,2211,4,6,0,10,8.00,30.20,76
37,1952,4,6,0,10,8.00,29.70,74
38,1579,4,6,0,10,8.00,29.40,76
39,1578,4,6,0,10,8.00,29.20,70
40,3088,3,7,0,10,6.00,39.40,79
41,1954,3,7,0,10,6.00,34.60,82
42,1943,3,7,0,10,6.00,32.30,87
43,3094,3,7,0,10,6.00,31.60,72
44,3087,3,7,0,10,6.00,31.10,60
45,1944,2,8,0,10,4.00,33.90,68
46,1580,1,8,0,9,2.00,32.80,50
47,3084,1,9,0,10,2.00,29.50,51
