Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,469,46.00,227.00,220.00,454.00,24,11-1-0,0,12
2,67,42.00,264.00,180.00,384.00,24,9-3-0,0,12
3,2054,40.00,227.00,200.00,283.00,20,10-2-0,0,12
4,3098,38.00,270.00,190.00,253.00,22,8-4-0,0,12
5,573,38.00,234.00,170.00,239.00,18,10-2-0,0,12
6,548,38.00,209.00,130.00,392.00,20,9-3-0,0,12
7,4294,38.00,182.00,160.00,223.00,22,8-4-0,0,12
8,2337,36.00,234.00,150.00,238.00,20,8-4-0,0,12
9,51,36.00,204.00,130.00,300.00,22,7-5-0,0,12
10,862,36.00,159.00,140.00,186.00,24,6-6-0,0,12
11,1918,34.00,235.00,100.00,268.00,16,9-3-0,0,12
12,308,34.00,215.00,170.00,186.00,18,8-4-0,0,12
13,3539,34.00,213.00,140.00,295.00,18,8-4-0,0,12
14,2474,34.00,206.00,90.00,337.00,20,7-5-0,0,12
15,2767,34.00,191.00,170.00,235.00,20,7-5-0,0,12
16,2137,34.00,177.00,170.00,296.00,14,10-2-0,0,12
17,33,34.00,172.00,130.00,384.00,20,7-5-0,0,12
18,3322,34.00,154.00,90.00,285.00,20,7-5-0,0,12
19,70,34.00,147.00,180.00,256.00,16,9-3-0,0,12
20,1025,34.00,132.00,180.00,236.00,18,8-4-0,0,12
21,1023,32.00,247.00,130.00,300.00,18,7-5-0,0,12
22,3234,32.00,196.00,150.00,248.00,18,7-5-0,0,12
23,1718,32.00,151.00,150.00,267.00,20,6-6-0,0,12
24,217,30.00,237.00,140.00,288.00,18,6-6-0,0,12
25,4003,30.00,214.00,190.00,170.00,16,7-5-0,0,12
26,3656,30.00,205.00,120.00,221.00,18,6-6-0,0,12
27,2959,30.00,194.00,170.00,249.00,20,5-7-0,0,12
28,503,30.00,194.00,100.00,198.00,20,5-7-0,0,12
29,2834,30.00,188.00,80.00,353.00,20,5-7-0,0,12
30,904,30.00,173.00,170.00,155.00,20,5-7-0,0,12
31,2591,30.00,171.00,90.00,213.00,18,6-6-0,0,12
32,27,30.00,152.00,100.00,276.00,18,6-6-0,0,12
33,3617,30.00,148.00,150.00,237.00,18,6-6-0,0,12
34,2586,30.00,142.00,120.00,258.00,18,6-6-0,0,12
35,1684,28.00,216.00,130.00,199.00,16,6-6-0,0,12
36,3572,28.00,209.00,110.00,209.00,16,6-6-0,0,12
37,245,28.00,197.00,180.00,248.00,18,5-7-0,0,12
38,494,28.00,184.00,130.00,316.00,14,7-5-0,0,12
39,1711,28.00,180.00,170.00,209.00,16,6-6-0,0,12
40,3620,28.00,153.00,110.00,166.00,20,4-8-0,0,12
41,3546,26.00,241.00,100.00,223.00,16,5-7-0,0,12
42,830,26.00,236.00,110.00,196.00,14,6-6-0,0,12
43,66,26.00,220.00,150.00,175.00,16,5-7-0,0,12
44,1504,26.00,189.00,70.00,218.00,18,4-8-0,0,12
45,123,26.00,186.00,120.00,233.00,14,6-6-0,0,12
46,3618,26.00,179.00,140.00,180.00,14,6-6-0,0,12
47,858,26.00,170.00,190.00,205.00,18,4-8-0,0,12
48,2246,26.00,147.00,120.00,208.00,18,4-8-0,0,12
49,302,26.00,141.00,70.00,180.00,20,3-9-0,0,12
50,3568,26.00,134.00,90.00,202.00,20,3-9-0,0,12
51,314,24.00,227.00,120.00,197.00,14,5-7-0,0,12
52,247,24.00,164.00,150.00,165.00,14,5-7-0,0,12
53,3537,24.00,157.00,120.00,241.00,16,4-8-0,0,12
54,3538,24.00,148.00,100.00,214.00,18,3-9-0,0,12
55,226,24.00,142.00,100.00,209.00,18,3-9-0,0,12
56,3509,24.00,141.00,80.00,202.00,16,4-8-0,0,12
57,2851,24.00,93.00,150.00,213.00,14,5-7-0,0,12
58,107,22.00,211.00,120.00,230.00,14,4-8-0,0,12
59,240,22.00,189.00,140.00,182.00,14,4-8-0,0,12
60,3601,22.00,152.00,130.00,174.00,16,3-9-0,0,12
61,201,20.00,230.00,130.00,193.00,8,6-6-0,0,12
62,141,20.00,180.00,70.00,168.00,16,2-10-0,0,12
63,2000,20.00,152.00,120.00,228.00,10,5-7-0,0,12
64,85,20.00,147.00,80.00,193.00,16,2-10-0,0,12
