Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,303,124.25,0,696,120,187,494,12
2,2590,121.5,24,684,200,100,456,12
3,11,93.66,12,388,160,232,332,12
4,4285,92.83,20,440,160,144,350,12
5,4954,90.5,0,444,120,156,366,12
6,219,87.16,8,444,200,118,294,12
7,869,86.33,24,464,120,102,338,12
8,25,86.33,16,468,80,154,324,12
9,1989,82.58,16,320,280,133,248,12
10,193,82.08,16,380,120,131,344,12
11,3314,81.66,0,416,120,164,286,12
12,2234,79.5,24,308,240,108,280,12
13,5624,78.5,0,352,200,140,268,12
14,4573,77.33,0,284,240,136,280,12
15,1923,74.41,4,308,120,129,332,12
16,5438,74.16,0,364,160,100,272,12
17,3151,72.83,12,312,160,118,284,12
18,714,72.16,6,236,200,92,338,12
19,321,71.66,4,248,240,78,296,12
20,4460,71.33,0,312,160,84,318,12
21,4281,71.08,14,320,160,65,294,12
22,1257,69.0,0,216,240,128,262,12
23,2180,68.0,0,288,120,156,270,12
24,3340,65.83,0,236,200,98,274,12
25,5666,64.75,0,244,200,83,250,12
26,1807,62.0,10,272,160,70,250,12
27,752,61.66,0,312,80,96,252,12
28,2070,60.33,0,292,120,62,262,12
29,1391,59.58,0,228,120,99,274,12
30,2095,59.25,0,304,80,83,262,12
31,136,55.58,8,240,80,85,260,12
32,896,54.91,4,220,160,107,174,12
33,555,51.0,0,208,80,110,226,12
34,2458,50.41,0,212,80,91,228,12
