Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1318,20.00,276.00,190.00,479.00,10-1-0,0,11
2,360,20.00,220.00,170.00,342.00,10-1-0,0,11
3,948,18.00,192.00,100.00,619.00,9-2-0,0,11
4,2922,18.00,170.00,180.00,237.00,9-2-0,0,11
5,1425,18.00,162.00,160.00,516.00,9-2-0,0,11
6,2046,16.00,160.00,120.00,311.00,8-3-0,0,11
7,3219,14.00,262.00,80.00,214.00,7-4-0,0,11
8,1595,14.00,238.00,80.00,319.00,7-4-0,0,11
9,2557,14.00,198.00,130.00,325.00,7-4-0,0,11
10,2928,14.00,168.00,190.00,253.00,7-4-0,0,11
11,2605,14.00,168.00,160.00,169.00,7-4-0,0,11
12,2517,14.00,164.00,110.00,277.00,7-4-0,0,11
13,4205,14.00,142.00,240.00,341.00,7-4-0,0,11
14,2635,14.00,140.00,110.00,350.00,7-4-0,0,11
15,2976,14.00,112.00,90.00,280.00,7-4-0,0,11
16,3860,14.00,100.00,140.00,197.00,7-4-0,0,11
17,3789,12.00,260.00,180.00,326.00,6-5-0,0,11
18,4120,12.00,232.00,90.00,92.00,6-5-0,0,11
19,2811,12.00,226.00,170.00,267.00,6-5-0,0,11
20,3587,12.00,180.00,130.00,144.00,6-5-0,0,11
21,4089,12.00,166.00,140.00,246.00,6-5-0,0,11
22,4495,12.00,132.00,90.00,296.00,6-5-0,0,11
23,3220,12.00,122.00,200.00,198.00,6-5-0,0,11
24,4692,12.00,110.00,110.00,224.00,6-5-0,0,11
25,2930,12.00,104.00,100.00,208.00,6-5-0,0,11
26,2929,12.00,82.00,410.00,114.00,6-5-0,0,11
27,488,10.00,210.00,120.00,213.00,5-6-0,0,11
28,2412,10.00,208.00,70.00,211.00,5-6-0,0,11
29,3711,10.00,152.00,170.00,257.00,5-6-0,0,11
30,3712,10.00,140.00,140.00,133.00,5-6-0,0,11
31,3968,10.00,118.00,270.00,100.00,5-6-0,0,11
32,1983,10.00,114.00,200.00,280.00,5-6-0,0,11
33,4060,8.00,188.00,100.00,120.00,4-7-0,0,11
34,4061,8.00,166.00,110.00,160.00,4-7-0,0,11
35,2149,8.00,164.00,210.00,155.00,4-7-0,0,11
36,4654,8.00,148.00,80.00,294.00,4-7-0,0,11
37,753,8.00,134.00,120.00,136.00,4-7-0,0,11
38,3286,8.00,114.00,90.00,137.00,4-7-0,0,11
39,2944,8.00,100.00,110.00,110.00,4-7-0,0,11
40,4173,8.00,90.00,90.00,156.00,4-7-0,0,11
41,3586,8.00,84.00,190.00,278.00,4-7-0,0,11
42,2910,8.00,82.00,90.00,349.00,4-7-0,0,11
43,1258,6.00,108.00,130.00,70.00,3-8-0,0,11
44,2923,6.00,96.00,100.00,169.00,3-8-0,0,11
45,4608,6.00,94.00,110.00,106.00,3-8-0,0,11
46,3876,6.00,84.00,80.00,212.00,3-8-0,0,11
47,4726,4.00,112.00,60.00,167.00,2-9-0,0,11
48,2926,4.00,110.00,100.00,155.00,2-9-0,0,11
49,4105,4.00,100.00,90.00,75.00,2-9-0,0,11
50,4652,4.00,50.00,80.00,133.00,2-8-0,1,11
