Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,2960,2.83,180,220,1496,85,6-0-0,0,6
2,2834,2.66,335,254,1458,135,5-1-0,0,6
3,3604,2.33,295,195,1325,105,5-1-0,0,6
4,3539,2.33,270,238,1416,105,4-2-0,0,6
5,4779,2.33,245,197,1485,100,5-1-0,0,6
6,548,2.16,175,184,1337,80,5-1-0,0,6
7,1684,2,285,237,1439,105,4-2-0,0,6
8,33,2,270,226,1133,95,3-3-0,0,6
9,5577,2,230,163,1113,100,4-2-0,0,6
10,1504,2,175,197,1290,70,4-2-0,0,6
11,3641,2,135,254,1276,95,3-3-0,0,6
12,2337,1.83,345,204,1419,140,4-2-0,0,6
13,3322,1.83,205,196,947,80,3-3-0,0,6
14,4961,1.83,165,253,1319,65,3-3-0,0,6
15,51,1.66,260,181,1123,150,3-3-0,0,6
16,772,1.66,260,175,1100,120,3-3-0,0,6
17,68,1.66,235,188,1189,125,3-3-0,0,6
18,503,1.5,250,230,1198,120,3-3-0,0,6
19,5843,1.5,215,252,1183,140,2-4-0,0,6
20,469,1.5,210,172,1045,85,3-3-0,0,6
21,830,1.5,175,179,1111,55,3-3-0,0,6
22,1189,1.33,195,186,975,70,2-4-0,0,6
23,3414,1.33,135,181,830,40,2-4-0,0,6
24,3538,1.16,260,216,1072,85,2-4-0,0,6
25,245,1.16,240,169,1117,120,2-4-0,0,6
26,226,1.16,235,154,929,100,2-4-0,0,6
27,5436,1,300,199,986,125,1-5-0,0,6
28,2832,1,160,184,967,75,1-5-0,0,6
29,302,1,145,145,1045,65,2-4-0,0,6
30,1481,0.83,160,156,843,120,2-4-0,0,6
31,4390,0.83,145,157,763,40,2-4-0,0,6
32,910,0.5,130,182,893,50,0-6-0,0,6
