Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2471,7,1,0,8,14.00,6.50
2,2928,6,1,1,8,13.00,15.37
3,360,6,2,0,8,12.00,12.75
4,2122,6,0,0,6,12.00,4.42
5,1983,5,2,1,8,11.00,15.00
6,3574,5,1,1,7,11.00,13.42
7,2930,5,1,1,7,11.00,4.14
8,2557,5,2,0,7,10.00,13.42
9,1510,5,2,0,7,10.00,10.14
10,3805,5,3,0,8,10.00,8.50
11,2660,5,3,0,8,10.00,5.75
12,649,5,2,0,7,10.00,5.71
13,3221,5,1,0,6,10.00,5.42
14,3390,4,1,1,6,9.00,7.57
15,3049,4,2,1,7,9.00,4.37
16,3825,4,3,1,8,9.00,2.12
17,2910,3,3,2,8,8.00,10.00
18,488,4,3,0,7,8.00,9.00
19,3662,4,4,0,8,8.00,8.87
20,115,4,3,0,7,8.00,8.28
21,2944,4,2,0,6,8.00,8.00
22,2850,4,4,0,8,8.00,5.87
23,948,3,2,2,7,8.00,3.28
24,3681,3,3,1,7,7.00,12.25
25,2903,3,2,1,6,7.00,6.85
26,3126,3,4,1,8,7.00,6.12
27,2148,3,4,1,8,7.00,5.87
28,581,3,4,1,8,7.00,4.87
29,2522,3,4,1,8,7.00,1.50
30,2926,3,5,0,8,6.00,8.87
31,1258,3,4,0,7,6.00,7.28
32,1778,3,5,0,8,6.00,5.50
33,3693,2,4,2,8,6.00,5.00
34,2906,2,3,2,7,6.00,4.42
35,3786,3,5,0,8,6.00,4.25
36,2923,3,4,0,7,6.00,4.14
37,3831,2,3,2,7,6.00,1.50
38,1359,2,3,2,7,6.00,0.85
39,1318,2,5,1,8,5.00,7.00
40,3219,1,3,3,7,5.00,6.28
41,3237,2,3,1,6,5.00,0.83
42,2980,2,6,0,8,4.00,16.75
43,2374,2,6,0,8,4.00,7.87
44,3860,2,6,0,8,4.00,5.00
45,3216,1,4,2,7,4.00,4.87
46,3812,1,5,2,8,4.00,3.75
47,3576,1,6,1,8,3.00,7.50
48,3789,1,5,1,7,3.00,4.62
49,3268,1,4,0,5,2.00,1.00
50,3587,0,7,1,8,1.00,7.00
