Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,2619,1.8300000000000001,1454,454,880,450,24,5-1-0,0,6
2,2832,1.6599999999999999,1570,205,760,650,0,5-1-0,0,6
3,6753,1.6599999999999999,1490,330,800,550,10,5-1-0,0,6
4,6071,1.6599999999999999,1465,228,720,600,25,5-1-0,0,6
5,6193,1.6599999999999999,1374,264,660,500,4,5-1-0,0,6
6,1684,1.3300000000000001,1492,371,720,550,57,4-2-0,0,6
7,5460,1.3300000000000001,1445,325,740,500,85,4-2-0,0,6
8,5086,1.3300000000000001,1375,220,640,600,15,4-2-0,0,6
9,5509,1.3300000000000001,1294,279,740,350,19,4-2-0,0,6
10,5193,1.1599999999999999,1560,386,820,600,30,3-3-0,0,6
11,5712,1,1460,274,660,650,5,3-3-0,0,6
12,6493,1,1380,334,680,600,10,3-3-0,0,6
13,9460,1,1344,336,760,450,14,3-3-0,0,6
14,6073,1,1326,335,680,400,6,3-3-0,0,6
15,5203,1,1253,220,640,450,18,3-3-0,0,6
16,9832,1,1220,200,640,450,0,3-3-0,0,6
17,5234,1,1190,210,600,450,0,3-3-0,0,6
18,5229,1,1165,150,700,350,15,3-3-0,0,6
19,830,1,1150,209,560,450,5,3-3-0,0,6
20,4390,1,1141,206,680,350,6,3-3-0,0,6
21,5603,0.82999999999999996,1339,334,720,500,9,2-4-0,0,6
22,703,0.66000000000000003,1395,319,760,550,5,2-4-0,0,6
23,5166,0.66000000000000003,1251,321,720,450,1,2-4-0,0,6
24,5257,0.66000000000000003,1244,279,620,450,9,2-4-0,0,6
25,1250,0.66000000000000003,1211,209,640,450,21,2-4-0,0,6
26,3770,0.66000000000000003,1191,205,600,500,1,2-4-0,0,6
27,9424,0.66000000000000003,1100,270,660,350,0,2-4-0,0,6
28,8203,0.66000000000000003,1036,176,680,300,1,2-4-0,0,6
29,5424,,1001,255,500,400,1,0-5-0,1,6
30,4819,,968,223,640,200,18,0-6-0,0,6
