Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,716,20.00,350.00,441.00,220.00,159.00,10-2-0,0,12
2,1350,18.00,320.00,362.00,130.00,320.00,9-3-0,0,12
3,4564,18.00,300.00,467.00,230.00,179.00,9-3-0,0,12
4,4909,16.00,390.00,386.00,120.00,74.00,8-4-0,0,12
5,2423,16.00,300.00,469.00,180.00,234.00,8-4-0,0,12
6,2648,16.00,270.00,310.00,130.00,124.00,8-4-0,0,12
7,2370,16.00,240.00,369.00,140.00,245.00,8-4-0,0,12
8,4473,16.00,220.00,375.00,120.00,224.00,8-4-0,0,12
9,4905,16.00,200.00,299.00,70.00,240.00,8-4-0,0,12
10,61,14.00,310.00,493.00,250.00,179.00,7-5-0,0,12
11,3930,14.00,290.00,412.00,90.00,209.00,7-5-0,0,12
12,5122,14.00,270.00,397.00,200.00,313.00,7-5-0,0,12
13,190,14.00,250.00,326.00,190.00,280.00,7-5-0,0,12
14,4048,14.00,240.00,368.00,220.00,335.00,7-5-0,0,12
15,2877,14.00,220.00,455.00,150.00,283.00,7-5-0,0,12
16,157,14.00,120.00,363.00,140.00,151.00,7-5-0,0,12
17,3236,12.00,310.00,257.00,140.00,186.00,6-6-0,0,12
18,885,12.00,300.00,424.00,140.00,295.00,6-6-0,0,12
19,811,12.00,290.00,459.00,140.00,336.00,6-6-0,0,12
20,1735,12.00,250.00,463.00,120.00,381.00,6-6-0,0,12
21,839,12.00,240.00,265.00,160.00,180.00,6-6-0,0,12
22,4097,12.00,190.00,343.00,120.00,244.00,6-6-0,0,12
23,238,12.00,170.00,409.00,160.00,297.00,6-6-0,0,12
24,88,12.00,170.00,333.00,160.00,203.00,6-6-0,0,12
25,1153,10.00,280.00,314.00,70.00,161.00,5-7-0,0,12
26,1768,10.00,240.00,406.00,100.00,96.00,5-7-0,0,12
27,4041,10.00,240.00,315.00,190.00,171.00,5-7-0,0,12
28,1100,10.00,190.00,363.00,140.00,148.00,5-7-0,0,12
29,4906,10.00,180.00,295.00,180.00,275.00,5-7-0,0,12
30,1687,10.00,140.00,270.00,100.00,130.00,5-7-0,0,12
31,467,10.00,120.00,315.00,110.00,275.00,5-7-0,0,12
32,4169,8.00,260.00,404.00,110.00,153.00,4-8-0,0,12
33,3623,8.00,250.00,293.00,60.00,149.00,4-8-0,0,12
34,3205,8.00,170.00,320.00,50.00,322.00,4-8-0,0,12
35,5347,8.00,120.00,194.00,100.00,118.00,4-8-0,0,12
36,1740,8.00,110.00,325.00,80.00,251.00,4-8-0,0,12
37,3466,6.00,300.00,260.00,120.00,91.00,3-9-0,0,12
38,1027,4.00,80.00,361.00,80.00,180.00,2-10-0,0,12
39,1277,2.00,40.00,163.00,20.00,177.00,1-9-0,2,12
