Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,125,108.33,6,520,360,40,380,12
2,61,97.33,6,408,320,158,288,12
3,176,95.83,22,336,400,172,238,12
4,2168,95.33,0,252,320,354,230,12
5,1099,95.08,12,352,360,179,268,12
6,1735,92.0,16,304,240,240,304,12
7,2067,88.66,12,336,280,190,270,12
8,5112,87.33,0,332,320,122,280,12
9,4055,86.83,24,272,400,148,216,12
10,558,84.41,4,272,320,235,188,12
11,5494,84.0,0,308,320,118,268,12
12,1517,82.5,6,308,280,128,280,12
13,157,81.83,16,236,360,144,244,12
14,3719,81.16,22,268,320,146,230,12
15,1071,80.66,0,264,360,136,220,12
16,78,80.5,4,304,280,112,278,12
17,4761,78.75,0,248,360,111,238,12
18,3623,76.0,6,256,280,152,230,12
19,4474,75.91,4,260,360,85,208,12
20,1100,74.33,60,292,160,140,258,12
21,2523,73.58,28,224,360,109,192,12
22,1153,72.83,0,248,240,140,258,12
23,5563,71.0,0,172,360,146,192,12
24,1757,69.41,26,152,360,111,190,12
25,237,67.41,0,244,280,131,190,12
26,716,63.75,32,240,200,117,194,12
27,1973,63.33,0,168,280,154,176,12
28,2079,62.25,0,204,240,113,208,12
29,1721,61.33,20,112,320,114,194,12
30,5163,61.16,16,164,200,194,184,12
31,4151,60.25,20,136,240,195,144,12
32,2262,58.08,30,148,280,109,160,12
33,1277,56.16,6,200,200,98,176,12
34,5400,55.91,0,184,200,145,142,12
35,5738,54.16,0,160,160,188,148,12
36,3555,53.83,0,156,240,130,132,12
37,1350,51.91,10,88,280,113,144,12
38,1740,49.08,0,168,160,89,190,12
39,4176,47.16,12,100,280,80,136,12
