Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,862,20.00,422.00,280.00,625.00,10-2-0,0,12
2,3234,20.00,388.00,290.00,553.00,10-2-0,0,12
3,4325,20.00,358.00,240.00,576.00,10-2-0,0,12
4,2054,18.00,446.00,240.00,662.00,9-3-0,0,12
5,1918,16.00,428.00,290.00,499.00,8-4-0,0,12
6,4381,16.00,374.00,210.00,333.00,8-4-0,0,12
7,858,16.00,368.00,270.00,492.00,8-4-0,0,12
8,94,16.00,364.00,180.00,304.00,8-4-0,0,12
9,326,16.00,354.00,210.00,444.00,8-4-0,0,12
10,70,14.00,432.00,220.00,423.00,7-5-0,0,12
11,68,14.00,368.00,90.00,670.00,7-5-0,0,12
12,1243,14.00,356.00,240.00,347.00,7-5-0,0,12
13,107,14.00,330.00,290.00,457.00,7-5-0,0,12
14,904,14.00,328.00,170.00,431.00,7-5-0,0,12
15,4855,14.00,298.00,240.00,375.00,7-5-0,0,12
16,4453,14.00,270.00,220.00,308.00,7-5-0,0,12
17,3537,14.00,230.00,210.00,283.00,7-5-0,0,12
18,494,12.00,456.00,210.00,356.00,6-5-0,1,12
19,4003,12.00,418.00,260.00,274.00,6-6-0,0,12
20,141,12.00,400.00,280.00,274.00,6-6-0,0,12
21,85,12.00,384.00,360.00,307.00,6-6-0,0,12
22,3770,12.00,330.00,140.00,520.00,6-6-0,0,12
23,4392,12.00,294.00,170.00,363.00,6-6-0,0,12
24,3357,12.00,258.00,180.00,378.00,6-6-0,0,12
25,74,10.00,324.00,250.00,456.00,5-7-0,0,12
26,3572,10.00,318.00,410.00,265.00,5-7-0,0,12
27,4004,10.00,308.00,270.00,341.00,5-7-0,0,12
28,3546,10.00,298.00,190.00,404.00,5-7-0,0,12
29,3875,10.00,270.00,250.00,332.00,5-7-0,0,12
30,3658,10.00,242.00,260.00,305.00,5-7-0,0,12
31,3458,10.00,216.00,170.00,233.00,5-7-0,0,12
32,1677,8.00,252.00,280.00,351.00,4-8-0,0,12
33,3639,8.00,226.00,170.00,243.00,4-8-0,0,12
34,4368,8.00,222.00,270.00,297.00,4-8-0,0,12
35,4337,6.00,288.00,110.00,424.00,3-9-0,0,12
36,4376,6.00,268.00,300.00,270.00,3-9-0,0,12
37,3603,6.00,242.00,160.00,291.00,3-9-0,0,12
38,2075,4.00,316.00,180.00,292.00,2-10-0,0,12
39,3640,4.00,298.00,170.00,244.00,2-10-0,0,12
40,2405,4.00,202.00,190.00,229.00,2-10-0,0,12
