frc0,,,,,
frc57,Leopards,KBR/Hydraquip Custom Systems Inc./Andy's Hardware/Arc Specialties/CenterPoint Energy Give/Chevron/Country Pure Foods/Employee Owned Holdings Inc./ExxonMobil/Greater Texas Foundation/Hydraquip Distribution Inc./Texas Workforce Commission/Walter P. Moore & Booker T. Washington & High School for Engineering Professions,"Houston, TX, USA",http://www.leopards57.com,
frc58,The Riot Crew,Fairchild Semiconductor/Robotics Institute of Maine & South Portland High School,"South Portland, ME, USA",http://www.riotcrew.org,
frc59,Ramtech,Miami Coral Park Sr.,"Miami, FL, USA",http://clgarcia.net/mcpsh/index.html,
frc60,Bionic Bulldogs,"KUSD #20 Kingman High School/Kingman Academy of Learning High School/Chrysler Foundation/Laron Incorporated/The Harley Davidson Foundation/Purvis Industries/Brackett Aircraft/Potters, Inc/UniSource Energy/Telemessaging USA/Praxair/American Woodmark/Ambient Edge/West Coast Netting/Great West Towing/True Value/I Corp/Mohave Community College/Wash Me Car Wash & Kingman High School & Kingman Academy of Learning High School & Lee Williams","Kingman, AZ, USA",http://roboticsteam60.weebly.com,
frc61,The Intimidators,Blackstone Valley Vocational Regional School District/EMC/QinetiQ North America/Harry's Pizza Whitinsville/PTC & Blackstone Valley Regional Vocational Technical High School,"Upton, MA, USA",http://www.valleytech.k12.ma.us/Robotics/Team61_index.html,
frc62,,,,,
frc63,The Red Barons,GE Volunteers / PTR Group & McDowell High School,"Erie, PA, USA",http://www.redbarons63.com,
frc64,Gila Monsters,General Motors - DPG/General Motors Desert Proving Ground & Queen Creek High School,"Mesa, AZ, USA",http://www.gilamonster.org,
frc65,The Huskie Brigade,GM Powertrain & Pontiac Northern High School,"Pontiac, MI, USA",http://www.huskiebrigade.com,
frc66,The Flyers,General Motors Corp / Soar Tech / Michigan Department of Education / Chrome Identity Group & Ypsilanti Community HS STEMM Academy,"Ypsilanti, MI, USA",http://team66.com,
frc67,The HOT Team,General Motors Milford Proving Ground & Huron Valley Schools,"Milford, MI, USA",http://www.Hotteam67.org,
frc68,Truck Town Thunder,General Motors Engineering Structural Development Laboratories/Continental Automotive Systems & Brandon High School & Holly High School,"Ortonville, MI, USA",http://trucktownthunder.com,
frc69,HYPER,Bluefin Robotics & Quincy Public Schools,"Quincy, MA, USA",http://www.hyperonline.org,
frc70,More Martians,General Motors / Chrysler Foundation / Kettering University / Grupo Antolin / Leoni / Midstates Bolt & Screw Co. / Patti Engineering & Goodrich High School,"Goodrich, MI, USA",http://www.70moremartians.com,
frc71,Team Hammond,School City of Hammond/Caterpillar/City of Hammond & School City of Hammond,"Hammond, IN, USA",http://www.teamhammond71.com,
frc73,The Illumination,ME Engineering/RIT FIRST Club/Ron Zarrella & Edison STEM High School,"Rochester, NY, USA",http://www.edison73.com,
frc74,Team C.H.A.O.S.,Haworth Inc. / PTC / SpinDance / Russells Technical Products & Holland High School & Black River Public School,"Holland, MI, USA",http://www.hollandchaos.com,
frc75,RoboRaiders,J&J Consumer and Personal Products Worldwide - & Hillsborough High School,"Hillsborough, NJ, USA",http://www.roboraiders.com,
frc77,,,,,
frc78,AIR Strike,NDEP/Naval Undersea Warfare Center/Raytheon/BAE Systems/KVH & Aquidneck Island Robotics 4-H Club,"Newport County, RI, USA",http://www.air4h.org,
frc79,Team Krunch,"Honeywell Aerospace/Career Technical Education Foundation, Inc./GE & East Lake High School","Tarpon Springs , FL, USA",http://www.teamkrunch.com,
frc80,Robocolt,DeVry University & Cortez High School,"Phoenix, AZ, USA",http://robocolt.jt.org,
frc81,MetalHeads,Honeywell/Freeport School District 145/Trez Turning & Freeport High School & Aquin High School,"Freeport, IL, USA",http://www.team81robotics.com,
frc84,Chuck 84,DuPont/NE PA Tech Prep Consortium & Athens Area School District & Northeast Bradford School District & Towanda Area School District & Troy Area School District,"Towanda, PA, USA",http://www.chuck84.org,
frc85,B.O.B. (Built on Brains),"Herman Miller Foundation / System Components, Inc / Trans-matic / NUVAR Incorporated / ITW  Drawform / Broadview Product Development / Request Foods / Lakeshore Cutting / Mead Johnson Nutritionals / ODL / Gentex / Midway Machine Techlologies / Town & Country Group / Plascore / Consumers Energy & Zeeland West High School & Zeeland East High School","Zeeland, MI, USA",https://sites.google.com/a/zps.org/bob-85,
frc86,Team Resistance,JEA/Johnson & Johnson VISTAKON/jcpenney & Stanton College Preparatory School,"Jacksonville, FL, USA",http://www.teamresistance.org,
frc87,Red Devils,Lockheed Martin & Rancocas Valley Regional High School,"Mount Holly, NJ, USA",http://www.rvr87.org,
frc88,TJ(Squared),DePuy/Harpak-ULMA/NASA & Bridgewater Raynam Regional High School,"Bridgewater, MA, USA",http://www.tj2.org,
frc89,,,", PA, USA",,
frc90,,,,,
frc92,RoboPats,MPC Products & Adlai E. Stevenson High School,"Lincolnshire, IL, USA",,
frc93,N.E.W. Apple Corps Robotics,Plexus Corp. & Appleton Area School District,"Appleton, WI, USA",http://www.nacteam93.com,
frc94,The  Technojays,Lear Corporation / TRW Automotive / OHM Civil Engineering Firm & Southfield High School Engineering Academy,"Southfield, MI, USA",http://www.Team94.com,
frc95,Grasshoppers,CRREL / HACTC IMW / BAE Systems & Lebanon High School,"Lebanon, NH, USA",http://www.r95.org,
frc96,JESTER,PUTNAM VOCATIONAL,"Springfield, MA, USA",http://www.team96jester.org,
frc97,Bionic Beef,"Akamai Technologies / Vecna Technologies, Inc / Draper Laboratories & Cambridge Rindge and Latin High School","Cambridge, MA, USA",http://www.crlsteam97.com,
frc98,,,,,
frc100,The WildHats,Pentair/Sequoia Union High School District/Woodside High School Foundation & Woodside High School & Carlmont High School & Sequoia High School,"Woodside, CA, USA",http://www.team100.org,
frc101,Striker,Saint Patrick High School,"Chicago, IL, USA",http://striker101.com,
frc102,The Gearheads,"PSEG / Ortho Clinical Diagnostics / Voltaix / Johnson & Johnson & Somerville, NJ","Somerville, NJ, USA",http://www.team102.org,
frc103,Cybersonics,"Amplifier Research/BAE Systems/Hot Chalk/Lutron Electronics, Inc/Day Tool and Manufacturing Incorporated/Harro Hoflinger/PHTool/Hillman Brass and Copper/Kiwanis Club of Riegelsville/Tyndale & Palisades High School","Kintnersville, PA, USA",http://www.cybersonics.org/cybersonics,
frc104,Team Universal,MEI & WCASD High Schools,"West Chester, PA, USA",,
frc105,,,"CHARLTON, MA, USA",,
frc106,,,"phila, PA, USA",,
frc107,Team R.O.B.O.T.I.C.S.,World Class Prototypes/Johnson Controls/Metal Flow/Agritek/Twisthink & Holland Christian High School,"Holland, MI, USA",https://sites.google.com/site/firstrobotics107,
frc108,SigmaC@T,"Motorola Solutions INC/Broward County Public Schools & Dillard High School, Fort Lauderdale Florida","Ft. Lauderdale, FL, USA",http://dillardhigh.com/main/sigmacats,
frc109,,,"Libertyville, IL, USA",,
