Rank,Team,QA,Coopertition,Auto,Container,Tote,Litter,DQ,Played
1,971,148.44,80,180,648,386,42,0,9
2,3859,79.11,40,20,300,196,156,0,9
3,649,75.77,200,80,116,268,30,0,9
4,1351,75.77,80,44,292,212,66,0,9
5,846,75.33,40,20,312,288,24,0,9
6,3256,74.66,80,0,328,252,24,0,9
7,1700,72.44,200,24,212,174,48,0,9
8,1967,65.11,120,24,184,240,30,0,9
9,2144,64.22,120,20,220,176,48,0,9
10,5700,62.66,80,20,236,174,72,0,9
11,4765,59.77,120,34,156,216,18,0,9
12,4159,57.77,80,44,188,182,36,0,9
13,1072,56.22,120,28,164,152,42,0,9
14,4255,55.77,80,20,188,190,36,0,9
15,1868,55.55,80,14,164,242,12,0,9
16,4171,54.22,120,20,160,182,12,0,9
17,100,54.22,80,30,168,204,18,0,9
18,670,52.66,120,0,128,184,48,0,9
19,2643,52.66,80,20,180,164,42,0,9
20,5430,52.44,40,20,192,184,42,0,9
21,256,52.22,120,4,144,154,48,0,9
22,2473,52,160,0,148,142,18,0,9
23,199,50.44,80,0,172,148,54,0,9
24,701,50.22,120,44,108,174,12,0,9
25,1458,49.11,120,24,104,176,30,0,9
26,3501,48.44,40,0,196,170,36,0,9
27,3045,48,0,0,236,200,24,0,9
28,5104,47.11,40,20,160,190,30,0,9
29,2854,43.55,80,20,136,150,12,0,9
30,5027,43.11,120,0,80,170,30,0,9
31,4904,42.44,120,0,76,156,30,0,9
32,5026,39.55,0,20,160,164,24,0,9
33,4186,36,80,4,92,148,12,0,9
34,668,35.77,0,0,112,198,24,0,9
35,4990,33.11,80,0,68,108,48,0,9
36,2489,28.66,0,0,84,162,18,0,9
