Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,27,20.00,348.00,70.00,595.00,10-2-0,0,12
2,3421,20.00,314.00,180.00,279.00,10-2-0,0,12
3,3641,18.00,302.00,190.00,523.00,9-3-0,0,12
4,3604,18.00,298.00,110.00,616.00,9-3-0,0,12
5,3414,18.00,282.00,230.00,550.00,9-3-0,0,12
6,2137,17.00,362.00,210.00,552.00,8-3-1,0,12
7,1189,16.00,378.00,200.00,524.00,8-4-0,0,12
8,4384,16.00,376.00,160.00,431.00,8-4-0,0,12
9,123,16.00,356.00,160.00,481.00,8-4-0,0,12
10,2771,16.00,330.00,120.00,589.00,8-4-0,0,12
11,4362,16.00,278.00,180.00,314.00,8-4-0,0,12
12,1502,14.00,340.00,150.00,306.00,7-5-0,0,12
13,2673,14.00,320.00,210.00,396.00,7-5-0,0,12
14,1322,14.00,256.00,90.00,330.00,7-5-0,0,12
15,3773,14.00,204.00,230.00,345.00,7-5-0,0,12
16,280,13.00,326.00,100.00,443.00,6-5-1,0,12
17,1250,12.00,332.00,170.00,351.00,6-6-0,0,12
18,2620,12.00,322.00,140.00,255.00,6-6-0,0,12
19,503,12.00,192.00,130.00,399.00,6-6-0,0,12
20,4854,12.00,160.00,110.00,343.00,6-6-0,0,12
21,830,12.00,136.00,110.00,420.00,6-6-0,0,12
22,4840,11.00,186.00,140.00,230.00,5-6-1,0,12
23,66,10.00,308.00,180.00,340.00,5-7-0,0,12
24,818,10.00,246.00,110.00,332.00,5-7-0,0,12
25,4478,10.00,214.00,90.00,272.00,5-7-0,0,12
26,308,10.00,210.00,140.00,388.00,5-7-0,0,12
27,3668,10.00,178.00,110.00,270.00,5-7-0,0,12
28,3547,10.00,164.00,170.00,269.00,5-7-0,0,12
29,3096,10.00,150.00,170.00,339.00,5-7-0,0,12
30,240,9.00,204.00,80.00,340.00,4-7-1,0,12
31,2832,8.00,246.00,130.00,334.00,4-8-0,0,12
32,470,8.00,214.00,150.00,274.00,4-8-0,0,12
33,4390,8.00,174.00,60.00,313.00,4-8-0,0,12
34,313,7.00,188.00,100.00,321.00,3-8-1,0,12
35,4768,6.00,194.00,80.00,220.00,3-9-0,0,12
36,4380,6.00,190.00,150.00,231.00,3-9-0,0,12
37,1941,6.00,178.00,100.00,310.00,3-9-0,0,12
38,4680,5.00,162.00,70.00,339.00,2-9-1,0,12
39,4755,2.00,168.00,60.00,155.00,1-10-0,1,12
