2003li_f1m1,frc545,frc566,frc514,frc569,49,58
2003li_f1m2,frc545,frc566,frc514,frc569,24,86
2003li_qf1m1,frc358,frc173,frc545,frc871,26,58
2003li_qf1m2,frc358,frc467,frc545,frc566,34,28
2003li_qf2m1,frc271,frc505,frc527,frc506,10,57
2003li_qf2m2,frc271,frc329,frc506,frc30,34,25
2003li_qf3m1,frc287,frc263,frc353,frc496,5,33
2003li_qf3m2,frc287,frc28,frc353,frc42,41,53
2003li_qf4m1,frc570,frc311,frc514,frc569,9,58
2003li_qf4m2,frc270,frc311,frc514,frc870,38,46
2003li_qm1,frc810,frc570,frc527,frc514,63,32
2003li_qm10,frc311,frc506,frc570,frc1203,3,58
2003li_qm11,frc30,frc467,frc884,frc533,120,6
2003li_qm12,frc505,frc173,frc870,frc358,6,38
2003li_qm13,frc545,frc527,frc271,frc1226,36,53
2003li_qm14,frc566,frc263,frc270,frc496,31,59
2003li_qm15,frc329,frc871,frc564,frc42,115,22
2003li_qm16,frc1019,frc28,frc353,frc569,20,39
2003li_qm17,frc287,frc373,frc514,frc311,109,59
2003li_qm18,frc30,frc505,frc506,frc810,35,174
2003li_qm19,frc564,frc467,frc496,frc545,17,34
2003li_qm2,frc506,frc358,frc270,frc417,53,27
2003li_qm20,frc569,frc173,frc42,frc353,51,24
2003li_qm21,frc570,frc566,frc417,frc884,101,77
2003li_qm22,frc527,frc329,frc870,frc373,74,42
2003li_qm23,frc1203,frc263,frc533,frc1019,101,6
2003li_qm24,frc271,frc871,frc358,frc270,35,66
2003li_qm25,frc287,frc1226,frc28,frc505,12,66
2003li_qm26,frc514,frc467,frc173,frc506,41,9
2003li_qm27,frc311,frc1019,frc566,frc1203,71,30
2003li_qm28,frc496,frc271,frc42,frc270,53,38
2003li_qm29,frc810,frc329,frc30,frc287,35,7
2003li_qm3,frc533,frc566,frc564,frc311,9,40
2003li_qm30,frc545,frc417,frc353,frc28,32,40
2003li_qm31,frc263,frc564,frc870,frc569,32,55
2003li_qm32,frc884,frc570,frc871,frc533,71,7
2003li_qm33,frc373,frc1226,frc527,frc358,24,133
2003li_qm34,frc173,frc505,frc566,frc42,3,91
2003li_qm35,frc506,frc514,frc1203,frc564,47,46
2003li_qm36,frc30,frc270,frc311,frc1226,60,32
2003li_qm37,frc570,frc467,frc353,frc496,63,75
2003li_qm38,frc287,frc373,frc870,frc884,0,59
2003li_qm39,frc810,frc1019,frc358,frc28,34,51
2003li_qm4,frc173,frc263,frc1019,frc467,118,18
2003li_qm40,frc271,frc545,frc871,frc569,125,52
2003li_qm41,frc329,frc263,frc527,frc417,34,4
2003li_qm42,frc533,frc173,frc42,frc564,6,42
2003li_qm43,frc506,frc505,frc358,frc1226,62,137
2003li_qm44,frc30,frc496,frc514,frc263,11,89
2003li_qm45,frc570,frc871,frc566,frc545,28,49
2003li_qm46,frc884,frc527,frc270,frc287,2,61
2003li_qm47,frc28,frc533,frc467,frc1203,44,45
2003li_qm48,frc810,frc569,frc311,frc373,59,12
2003li_qm49,frc271,frc353,frc1019,frc417,155,39
2003li_qm5,frc271,frc42,frc569,frc870,20,57
2003li_qm50,frc329,frc870,frc173,frc506,60,14
2003li_qm51,frc30,frc42,frc1203,frc505,22,71
2003li_qm52,frc311,frc570,frc884,frc496,117,3
2003li_qm53,frc358,frc871,frc373,frc564,44,16
2003li_qm54,frc417,frc28,frc527,frc514,45,51
2003li_qm55,frc1226,frc1019,frc810,frc566,11,60
2003li_qm56,frc870,frc533,frc270,frc263,32,90
2003li_qm57,frc271,frc569,frc545,frc467,58,30
2003li_qm58,frc329,frc287,frc353,frc173,107,21
2003li_qm59,frc42,frc570,frc1203,frc506,9,40
2003li_qm6,frc329,frc287,frc1203,frc871,102,38
2003li_qm60,frc870,frc871,frc884,frc271,36,59
2003li_qm61,frc28,frc505,frc373,frc30,83,10
2003li_qm62,frc329,frc1019,frc263,frc496,39,9
2003li_qm63,frc527,frc311,frc533,frc564,96,12
2003li_qm64,frc353,frc810,frc467,frc358,31,70
2003li_qm65,frc514,frc569,frc270,frc417,37,10
2003li_qm66,frc566,frc287,frc1226,frc545,11,41
2003li_qm67,frc1203,frc173,frc884,frc42,80,47
2003li_qm68,frc506,frc373,frc271,frc810,5,51
2003li_qm69,frc263,frc870,frc569,frc570,15,117
2003li_qm7,frc353,frc30,frc505,frc28,55,36
2003li_qm70,frc30,frc533,frc28,frc287,9,101
2003li_qm71,frc496,frc545,frc871,frc514,6,37
2003li_qm72,frc467,frc566,frc329,frc564,75,45
2003li_qm73,frc505,frc270,frc527,frc358,30,72
2003li_qm74,frc1019,frc353,frc1226,frc311,34,46
2003li_qm75,frc417,frc1203,frc42,frc810,5,61
2003li_qm76,frc173,frc329,frc506,frc570,78,45
2003li_qm77,frc263,frc287,frc373,frc884,110,8
2003li_qm78,frc527,frc1226,frc30,frc514,20,100
2003li_qm79,frc870,frc496,frc270,frc564,13,32
2003li_qm8,frc1226,frc884,frc545,frc373,16,81
2003li_qm80,frc353,frc271,frc467,frc533,54,7
2003li_qm81,frc417,frc569,frc358,frc545,30,66
2003li_qm82,frc505,frc566,frc28,frc311,18,59
2003li_qm83,frc1019,frc871,frc1203,frc173,12,138
2003li_qm9,frc496,frc514,frc810,frc417,84,16
2003li_sf1m1,frc545,frc566,frc353,frc496,76,39
2003li_sf1m2,frc545,frc566,frc353,frc496,19,32
2003li_sf2m1,frc527,frc30,frc514,frc569,33,76
2003li_sf2m2,frc527,frc30,frc514,frc569,7,67
