Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,4488,20.00,310.00,551.00,210.00,415.00,10-2-0,0,12
2,2811,20.00,280.00,399.00,180.00,350.00,10-2-0,0,12
3,3131,18.00,290.00,347.00,130.00,390.00,9-3-0,0,12
4,2471,16.00,290.00,302.00,220.00,412.00,8-4-0,0,12
5,2093,16.00,150.00,380.00,130.00,243.00,8-4-0,0,12
6,3636,16.00,130.00,317.00,190.00,446.00,8-4-0,0,12
7,3674,14.00,320.00,420.00,160.00,340.00,7-5-0,0,12
8,1425,14.00,310.00,509.00,220.00,376.00,7-5-0,0,12
9,5085,14.00,260.00,298.00,80.00,232.00,7-5-0,0,12
10,1540,14.00,250.00,427.00,140.00,320.00,7-5-0,0,12
11,2521,14.00,250.00,358.00,160.00,277.00,7-5-0,0,12
12,2990,14.00,240.00,333.00,170.00,482.00,7-5-0,0,12
13,956,14.00,170.00,371.00,160.00,288.00,7-5-0,0,12
14,4051,12.00,330.00,266.00,80.00,262.00,6-6-0,0,12
15,2517,12.00,290.00,281.00,160.00,290.00,6-6-0,0,12
16,4057,12.00,240.00,301.00,140.00,291.00,6-6-0,0,12
17,2733,12.00,200.00,312.00,170.00,138.00,6-6-0,0,12
18,2374,12.00,190.00,491.00,210.00,314.00,6-6-0,0,12
19,4132,12.00,160.00,231.00,100.00,323.00,6-6-0,0,12
20,2411,12.00,140.00,401.00,150.00,409.00,6-6-0,0,12
21,2635,10.00,210.00,339.00,210.00,334.00,5-7-0,0,12
22,957,10.00,110.00,402.00,160.00,343.00,5-7-0,0,12
23,2002,8.00,170.00,386.00,90.00,231.00,4-8-0,0,12
24,2542,8.00,170.00,289.00,110.00,255.00,4-8-0,0,12
25,4110,8.00,170.00,273.00,110.00,246.00,4-8-0,0,12
26,1510,8.00,170.00,252.00,100.00,222.00,4-8-0,0,12
27,4662,8.00,160.00,305.00,120.00,290.00,4-8-0,0,12
28,3192,6.00,120.00,337.00,60.00,340.00,3-9-0,0,12
29,4692,6.00,100.00,322.00,60.00,212.00,3-9-0,0,12
30,1432,6.00,80.00,236.00,120.00,183.00,3-8-0,1,12
31,4043,6.00,40.00,336.00,200.00,352.00,3-9-0,0,12
