Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,3641,20.00,400.00,446.00,300.00,439.00,10-2-0,0,12
2,3322,19.00,680.00,585.00,270.00,380.00,9-2-1,0,12
3,314,18.00,330.00,506.00,330.00,296.00,9-3-0,0,12
4,1025,17.00,440.00,487.00,180.00,447.00,8-3-1,0,12
5,5114,16.00,460.00,365.00,250.00,456.00,8-4-0,0,12
6,503,16.00,420.00,505.00,250.00,242.00,8-4-0,0,12
7,4362,16.00,400.00,521.00,240.00,413.00,8-4-0,0,12
8,308,16.00,390.00,385.00,210.00,463.00,8-4-0,0,12
9,2832,16.00,340.00,360.00,160.00,391.00,8-4-0,0,12
10,2620,15.00,290.00,381.00,180.00,344.00,7-4-1,0,12
11,1250,14.00,440.00,446.00,270.00,253.00,7-5-0,0,12
12,5090,14.00,440.00,338.00,160.00,235.00,7-5-0,0,12
13,548,14.00,420.00,501.00,230.00,363.00,7-5-0,0,12
14,470,14.00,340.00,401.00,180.00,324.00,7-5-0,0,12
15,3668,14.00,270.00,523.00,170.00,150.00,7-5-0,0,12
16,830,14.00,270.00,462.00,100.00,205.00,7-5-0,0,12
17,3604,13.00,450.00,506.00,230.00,281.00,6-5-1,0,12
18,3414,13.00,360.00,431.00,170.00,348.00,6-5-1,0,12
19,4390,13.00,160.00,331.00,190.00,439.00,6-5-1,0,12
20,123,12.00,340.00,471.00,130.00,406.00,6-6-0,0,12
21,3568,12.00,290.00,352.00,250.00,371.00,6-6-0,0,12
22,3542,12.00,250.00,460.00,110.00,374.00,6-6-0,0,12
23,2851,12.00,240.00,475.00,140.00,265.00,6-6-0,0,12
24,5263,12.00,230.00,341.00,200.00,307.00,6-6-0,0,12
25,815,11.00,410.00,395.00,210.00,382.00,5-6-1,0,12
26,280,11.00,270.00,420.00,120.00,381.00,5-6-1,0,12
27,1701,10.00,270.00,335.00,170.00,382.00,5-7-0,0,12
28,4737,10.00,220.00,346.00,180.00,204.00,5-7-0,0,12
29,4768,10.00,110.00,360.00,160.00,271.00,5-7-0,0,12
30,4405,9.00,400.00,531.00,220.00,203.00,4-7-1,0,12
31,313,9.00,300.00,367.00,140.00,221.00,4-7-1,0,12
32,4380,9.00,130.00,308.00,140.00,291.00,4-6-1,1,12
33,5066,8.00,330.00,415.00,170.00,250.00,4-8-0,0,12
34,2048,8.00,190.00,371.00,140.00,500.00,4-8-0,0,12
35,2676,7.00,160.00,276.00,180.00,395.00,3-8-1,0,12
36,5220,6.00,190.00,337.00,100.00,483.00,3-9-0,0,12
37,4838,6.00,160.00,310.00,180.00,187.00,3-9-0,0,12
38,1076,6.00,130.00,291.00,130.00,243.00,3-9-0,0,12
39,5067,4.00,170.00,311.00,170.00,299.00,2-10-0,0,12
40,5217,4.00,150.00,301.00,220.00,270.00,2-10-0,0,12
