Rank,Team,RP,Auto,Scale/Challenge,Goal,Defense,W-L-T,DQ,Played
1,1678,38,300,145,587,565,11-0-0,0,11
2,2122,36,338,240,500,630,10-1-0,0,11
3,3250,32,322,155,537,580,9-2-0,0,11
4,3859,32,256,105,429,580,10-1-0,0,11
5,2122B,27,370,145,407,605,8-3-0,0,11
6,2073B,27,268,145,333,530,8-3-0,0,11
7,1671,27,214,140,304,545,8-3-0,0,11
8,8B,25,264,95,298,555,7-4-0,0,11
9,5496,24,180,130,249,540,6-5-0,0,11
10,973B,23,178,110,338,485,7-4-0,0,11
11,1323B,22,216,90,466,545,6-5-0,0,11
12,973,22,184,120,228,450,7-4-0,0,11
13,5852,21,154,105,235,525,5-6-0,0,11
14,4698,20,272,110,263,550,6-5-0,0,11
15,6174,20,262,95,284,515,6-5-0,0,11
16,5940,20,230,90,263,560,5-6-0,0,11
17,1662,19,238,130,206,495,6-5-0,0,11
18,2073,19,196,60,270,485,6-5-0,0,11
19,295,18,246,135,224,550,5-6-0,0,11
20,1671B,18,216,115,267,460,6-5-0,0,11
21,5274,18,202,70,224,490,5-6-0,0,11
22,2643,17,144,80,230,435,4-7-0,0,11
23,8,16,208,80,103,480,5-6-0,0,11
24,3189,16,194,95,230,485,4-7-0,0,11
25,5499,15,238,125,233,460,5-6-0,0,11
26,6039,15,216,95,137,515,3-8-0,0,11
27,2085,15,158,80,178,425,5-6-0,0,11
28,3256,14,250,90,350,495,4-7-0,0,11
29,1280,14,234,110,195,470,4-7-0,0,11
30,3598,14,218,100,285,515,3-8-0,0,11
31,5458,14,182,75,227,455,4-7-0,0,11
32,299,13,280,85,271,460,4-7-0,0,11
33,4255,11,206,85,178,440,2-9-0,0,11
34,701B,11,154,85,195,375,4-7-0,0,11
35,4643,10,186,85,148,470,3-8-0,0,11
36,701,8,178,100,139,450,2-9-0,0,11
37,5677,6,188,70,156,435,1-10-0,0,11
