Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,469,24.00,214.00,80.00,696.00,12-0-0,0,12
2,1701,22.00,234.00,220.00,341.00,11-1-0,0,12
3,1189,20.00,290.00,190.00,291.00,10-2-0,0,12
4,1250,18.00,208.00,110.00,277.00,9-3-0,0,12
5,2851,18.00,200.00,190.00,302.00,9-3-0,0,12
6,314,16.00,242.00,150.00,545.00,8-4-0,0,12
7,123,16.00,180.00,140.00,321.00,8-4-0,0,12
8,815,16.00,156.00,130.00,264.00,8-4-0,0,12
9,4815,15.00,128.00,60.00,174.00,7-4-1,0,12
10,3542,15.00,106.00,140.00,237.00,7-4-1,0,12
11,94,14.00,178.00,130.00,198.00,7-5-0,0,12
12,3096,14.00,150.00,130.00,244.00,7-5-0,0,12
13,2834,14.00,134.00,180.00,287.00,7-5-0,0,12
14,201,14.00,118.00,190.00,232.00,7-5-0,0,12
15,3619,14.00,94.00,120.00,266.00,7-5-0,0,12
16,4758,14.00,90.00,180.00,185.00,7-5-0,0,12
17,280,13.00,184.00,140.00,161.00,6-5-1,0,12
18,3175,13.00,140.00,120.00,202.00,6-5-1,0,12
19,4768,12.00,102.00,100.00,159.00,6-6-0,0,12
20,4851,12.00,102.00,90.00,173.00,6-6-0,0,12
21,2676,12.00,98.00,240.00,239.00,6-6-0,0,12
22,2224,11.00,134.00,90.00,107.00,5-6-1,0,12
23,2620,11.00,106.00,140.00,244.00,5-6-1,0,12
24,1023,10.00,136.00,180.00,141.00,5-7-0,0,12
25,910,10.00,124.00,30.00,154.00,5-7-0,0,12
26,4380,10.00,88.00,100.00,174.00,5-7-0,0,12
27,2591,10.00,86.00,130.00,229.00,4-6-2,0,12
28,519,9.00,112.00,140.00,190.00,4-7-1,0,12
29,4507,8.00,106.00,80.00,210.00,4-7-0,1,12
30,4838,8.00,102.00,130.00,181.00,4-8-0,0,12
31,322,8.00,84.00,80.00,226.00,4-8-0,0,12
32,3632,8.00,84.00,70.00,148.00,4-7-0,1,12
33,4834,8.00,42.00,80.00,88.00,4-6-0,2,12
34,2673,7.00,132.00,140.00,174.00,3-8-1,0,12
35,4854,7.00,80.00,110.00,158.00,3-8-1,0,12
36,1941,6.00,82.00,80.00,71.00,3-8-0,1,12
37,4680,6.00,54.00,70.00,134.00,3-9-0,0,12
38,3398,6.00,42.00,110.00,140.00,3-9-0,0,12
39,2832,3.00,48.00,70.00,194.00,1-10-1,0,12
40,3706,2.00,54.00,40.00,53.00,1-4-0,7,12
