Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,359,10,0,0,10,20.00,13.80
2,2439,9,1,0,10,18.00,18.40
3,368,9,1,0,10,18.00,13.60
4,2090,8,2,0,10,16.00,16.60
5,2504,8,2,0,10,16.00,8.70
6,2445,7,2,1,10,15.00,12.20
7,1056,6,4,0,10,12.00,17.80
8,2467,5,3,2,10,12.00,8.60
9,2853,6,4,0,10,12.00,5.30
10,3685,5,3,1,9,11.00,7.00
11,3721,5,3,1,9,11.00,5.77
12,2348,5,3,1,9,11.00,4.20
13,2437,5,5,0,10,10.00,8.60
14,3306,4,2,2,8,10.00,7.80
15,3881,5,5,0,10,10.00,5.10
16,3880,4,5,0,9,8.00,11.77
17,3879,4,6,0,10,8.00,11.60
18,3837,3,5,2,10,8.00,10.10
19,2443,4,6,0,10,8.00,9.50
20,2438,4,6,0,10,8.00,8.00
21,2460,4,3,0,7,8.00,5.80
22,3132,3,6,1,10,7.00,9.60
23,3008,3,6,1,10,7.00,4.10
24,2441,3,6,0,9,6.00,13.55
25,2477,3,6,0,9,6.00,7.44
26,2444,2,6,2,10,6.00,7.30
27,2455,3,7,0,10,6.00,6.50
28,2459,3,4,0,7,6.00,6.10
29,2465,2,7,1,10,5.00,9.50
30,1378,2,6,1,9,5.00,8.90
31,3800,2,7,1,10,5.00,6.30
32,3878,2,7,0,9,4.00,8.60
33,3882,2,7,0,9,4.00,6.55
