Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,176,22.00,350.00,516.00,180.00,471.00,11-1-0,0,12
2,319,19.00,500.00,341.00,270.00,406.00,9-2-1,0,12
3,131,18.00,370.00,428.00,250.00,298.00,9-3-0,0,12
4,3467,18.00,320.00,485.00,200.00,328.00,9-3-0,0,12
5,509,18.00,290.00,341.00,100.00,253.00,9-3-0,0,12
6,213,16.00,180.00,407.00,130.00,329.00,8-4-0,0,12
7,4958,16.00,140.00,370.00,180.00,367.00,8-4-0,0,12
8,58,15.00,200.00,450.00,130.00,390.00,7-4-1,0,12
9,3499,14.00,300.00,280.00,80.00,385.00,7-5-0,0,12
10,166,14.00,260.00,346.00,110.00,316.00,7-5-0,0,12
11,1761,14.00,170.00,294.00,50.00,398.00,7-5-0,0,12
12,3479,14.00,150.00,411.00,180.00,340.00,7-5-0,0,12
13,3236,14.00,120.00,306.00,80.00,341.00,7-5-0,0,12
14,3451,13.00,210.00,463.00,100.00,297.00,6-5-1,0,12
15,1073,13.00,160.00,400.00,110.00,275.00,6-5-1,0,12
16,126,12.00,290.00,312.00,130.00,327.00,5-5-2,0,12
17,69,12.00,250.00,322.00,40.00,198.00,6-6-0,0,12
18,4034,12.00,180.00,432.00,150.00,179.00,6-6-0,0,12
19,3280,12.00,120.00,385.00,70.00,241.00,6-6-0,0,12
20,4925,10.00,500.00,302.00,120.00,267.00,5-7-0,0,12
21,348,10.00,300.00,401.00,180.00,281.00,5-7-0,0,12
22,4546,10.00,250.00,357.00,90.00,221.00,5-7-0,0,12
23,3323,10.00,180.00,501.00,60.00,325.00,4-6-2,0,12
24,1247,10.00,140.00,310.00,90.00,211.00,5-7-0,0,12
25,2713,10.00,110.00,241.00,50.00,288.00,5-6-0,1,12
26,5286,10.00,90.00,420.00,80.00,220.00,5-7-0,0,12
27,501,9.00,230.00,378.00,90.00,332.00,4-7-1,0,12
28,1058,9.00,140.00,306.00,160.00,225.00,4-7-1,0,12
29,5265,9.00,60.00,342.00,110.00,335.00,4-7-1,0,12
30,4555,8.00,190.00,431.00,170.00,315.00,4-8-0,0,12
31,4042,8.00,100.00,252.00,70.00,248.00,4-8-0,0,12
32,1289,8.00,30.00,276.00,100.00,243.00,4-8-0,0,12
33,3585,6.00,140.00,251.00,60.00,148.00,3-9-0,0,12
34,1307,6.00,90.00,237.00,140.00,280.00,3-9-0,0,12
35,3597,6.00,70.00,325.00,80.00,291.00,3-9-0,0,12
36,151,5.00,130.00,312.00,100.00,306.00,2-9-1,0,12
