Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,3620,22.00,480.00,469.00,160.00,308.00,11-1-0,0,12
2,2959,22.00,400.00,591.00,240.00,466.00,11-1-0,0,12
3,27,20.00,650.00,665.00,240.00,504.00,10-2-0,0,12
4,2337,18.00,510.00,523.00,120.00,513.00,9-3-0,0,12
5,4381,18.00,370.00,500.00,320.00,287.00,9-3-0,0,12
6,2474,18.00,300.00,502.00,180.00,215.00,9-3-0,0,12
7,3572,16.00,350.00,523.00,180.00,320.00,8-4-0,0,12
8,4237,16.00,250.00,381.00,110.00,332.00,8-4-0,0,12
9,3458,14.00,440.00,416.00,120.00,246.00,7-5-0,0,12
10,5173,14.00,330.00,465.00,170.00,216.00,7-5-0,0,12
11,468,14.00,320.00,443.00,70.00,370.00,7-5-0,0,12
12,3617,14.00,310.00,511.00,130.00,177.00,7-5-0,0,12
13,4855,14.00,280.00,506.00,220.00,233.00,7-5-0,0,12
14,141,14.00,240.00,405.00,100.00,182.00,7-5-0,0,12
15,85,12.00,380.00,450.00,210.00,353.00,6-6-0,0,12
16,3452,12.00,340.00,494.00,230.00,156.00,6-6-0,0,12
17,5056,12.00,330.00,377.00,150.00,217.00,6-6-0,0,12
18,5152,12.00,300.00,496.00,120.00,166.00,6-6-0,0,12
19,4325,12.00,280.00,504.00,130.00,363.00,6-6-0,0,12
20,4377,12.00,280.00,397.00,120.00,199.00,6-6-0,0,12
21,3547,10.00,320.00,399.00,80.00,265.00,5-7-0,0,12
22,904,10.00,300.00,438.00,130.00,255.00,5-7-0,0,12
23,5248,10.00,300.00,340.00,180.00,184.00,5-7-0,0,12
24,3509,10.00,250.00,370.00,150.00,281.00,5-7-0,0,12
25,2405,10.00,240.00,433.00,160.00,203.00,5-7-0,0,12
26,5069,10.00,240.00,425.00,150.00,103.00,5-7-0,0,12
27,5194,10.00,200.00,397.00,120.00,257.00,5-7-0,0,12
28,5182,10.00,190.00,427.00,100.00,213.00,5-7-0,0,12
29,5255,10.00,150.00,264.00,100.00,134.00,5-7-0,0,12
30,4408,10.00,110.00,317.00,50.00,258.00,5-7-0,0,12
31,5227,8.00,320.00,384.00,80.00,207.00,4-8-0,0,12
32,5204,8.00,310.00,508.00,120.00,345.00,4-8-0,0,12
33,4337,8.00,220.00,310.00,160.00,167.00,4-8-0,0,12
34,1940,8.00,210.00,338.00,170.00,169.00,4-8-0,0,12
35,3875,8.00,190.00,323.00,190.00,180.00,4-8-0,0,12
36,1502,8.00,150.00,303.00,100.00,142.00,4-8-0,0,12
37,4409,6.00,180.00,448.00,50.00,102.00,3-9-0,0,12
38,1254,4.00,200.00,356.00,120.00,128.00,2-10-0,0,12
39,5246,4.00,150.00,360.00,170.00,313.00,2-10-0,0,12
