Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,3238,9,0,1,10,19.00,17.30
2,3393,9,1,0,10,18.00,13.30
3,1294,8,2,0,10,16.00,10.20
4,2605,8,2,0,10,16.00,8.80
5,1425,7,0,1,8,15.00,14.10
6,2922,7,2,1,10,15.00,4.80
7,1332,7,3,0,10,14.00,10.20
8,2907,7,3,0,10,14.00,9.70
9,3787,6,2,2,10,14.00,7.80
10,3223,6,3,1,10,13.00,8.40
11,3684,6,3,1,10,13.00,4.80
12,753,6,4,0,10,12.00,10.30
13,3213,5,2,2,9,12.00,6.20
14,3663,6,3,0,9,12.00,5.40
15,1899,6,3,0,9,12.00,4.80
16,2046,5,4,1,10,11.00,6.20
17,2517,5,4,1,10,11.00,3.60
18,473,5,4,0,9,10.00,14.10
19,2990,5,5,0,10,10.00,14.00
20,3586,5,5,0,10,10.00,12.10
21,192,4,3,2,9,10.00,7.80
22,3218,5,5,0,10,10.00,6.30
23,2905,5,5,0,10,10.00,5.60
24,2925,4,4,2,10,10.00,5.60
25,3876,5,5,0,10,10.00,4.80
26,2976,4,4,2,10,10.00,2.30
27,2927,4,5,1,10,9.00,8.50
28,3220,4,4,1,9,9.00,6.20
29,1595,4,5,1,10,9.00,6.10
30,2942,4,5,1,10,9.00,4.60
31,3588,4,6,0,10,8.00,9.90
32,2147,4,6,0,10,8.00,9.60
33,2865,4,6,0,10,8.00,5.60
34,949,4,6,0,10,8.00,5.20
35,2412,3,6,1,10,7.00,10.40
36,2811,3,3,1,7,7.00,6.00
37,492,3,5,1,9,7.00,5.70
38,3826,3,6,1,10,7.00,4.30
39,3801,3,6,0,9,6.00,13.00
40,2555,2,6,2,10,6.00,6.70
41,2929,2,6,2,10,6.00,5.60
42,3070,2,6,2,10,6.00,4.10
43,751,3,6,0,9,6.00,3.60
44,2149,3,7,0,10,6.00,3.20
45,3575,2,7,1,10,5.00,7.80
46,3813,2,7,1,10,5.00,4.40
47,3855,2,7,0,9,4.00,6.40
48,3286,2,6,0,8,4.00,6.30
49,3806,2,8,0,10,4.00,4.70
50,3781,0,7,3,10,3.00,4.60
