Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,5279,16,134,50,89,285,5-0-0,0,5
2,339,16,118,80,105,270,5-0-0,0,5
3,4286,13,106,70,61,285,4-1-0,0,5
4,1731,12,134,55,128,270,4-1-0,0,5
5,384B,12,126,75,52,265,4-1-0,0,5
6,623,12,68,85,73,240,4-1-0,0,5
7,5945,11,114,60,40,245,4-1-0,0,5
8,2537,11,94,70,69,235,3-2-0,0,5
9,2914,11,94,55,52,235,4-1-0,0,5
10,2640,10,114,70,19,270,3-2-0,0,5
11,3373,10,82,50,37,245,3-2-0,0,5
12,1080,9,114,35,32,240,3-2-0,0,5
13,1137,9,106,45,20,245,3-2-0,0,5
14,1086,9,102,45,80,215,3-2-0,0,5
15,2914B,9,84,50,34,235,3-2-0,0,5
16,1418,8,110,75,37,205,3-2-0,0,5
17,6584,7,106,40,45,225,3-2-0,0,5
18,619,7,92,35,66,190,3-2-0,0,5
19,116,7,40,70,56,195,2-3-0,0,5
20,1885,5,112,35,42,230,2-3-0,0,5
21,1123,5,92,45,18,200,1-4-0,0,5
22,384,5,80,55,99,210,2-3-0,0,5
23,5587,5,64,50,24,160,2-3-0,0,5
24,888,4,120,50,40,215,2-3-0,0,5
25,5338,4,110,35,43,220,1-4-0,0,5
26,2068,4,108,35,32,200,2-3-0,0,5
27,449,4,84,40,12,205,1-4-0,0,5
28,620,3,88,25,34,175,1-4-0,0,5
29,2363,3,70,70,49,220,0-5-0,0,5
30,1895,3,64,35,27,180,1-4-0,0,5
31,346,3,50,50,86,165,1-4-0,0,5
32,2186,3,38,50,32,150,1-4-0,0,5
33,1915,1,64,35,6,165,0-5-0,0,5
