Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,3620,38.0,298.0,200.0,538.0,615.0,10-2-0,12
2,3357,36.0,332.0,175.0,471.0,635.0,10-2-0,12
3,2771,34.0,290.0,135.0,529.0,655.0,9-3-0,12
4,4967,34.0,282.0,165.0,430.0,615.0,9-3-0,12
5,2767,33.0,276.0,180.0,426.0,655.0,9-3-0,12
6,6114,32.0,292.0,155.0,228.0,670.0,10-2-0,12
7,5162,31.0,318.0,235.0,309.0,665.0,8-4-0,12
8,4325,31.0,272.0,145.0,368.0,620.0,8-4-0,12
9,3572,30.0,287.0,150.0,306.0,645.0,8-4-0,12
10,5256,28.0,248.0,145.0,267.0,620.0,7-5-0,12
11,858,28.0,212.0,145.0,296.0,595.0,9-3-0,12
12,2474,27.0,300.0,165.0,358.0,620.0,7-5-0,12
13,3234,27.0,287.0,160.0,241.0,615.0,8-4-0,12
14,5470,26.0,304.0,200.0,161.0,685.0,8-4-0,12
15,6090,25.0,312.0,140.0,235.0,640.0,6-6-0,12
16,5745,25.0,300.0,150.0,264.0,620.0,7-5-0,12
17,4409,24.0,276.0,165.0,197.0,615.0,6-6-0,12
18,904,22.0,286.0,210.0,241.0,600.0,6-6-0,12
19,6002,22.0,221.0,125.0,372.0,535.0,6-6-0,12
20,2054,21.0,312.0,145.0,371.0,545.0,6-6-0,12
21,6065,21.0,258.0,160.0,215.0,615.0,5-7-0,12
22,5622,21.0,238.0,115.0,215.0,505.0,6-4-0,12
23,4819,21.0,232.0,135.0,298.0,595.0,3-9-0,12
24,3875,20.0,278.0,115.0,212.0,595.0,5-7-0,12
25,2075,20.0,268.0,125.0,280.0,580.0,6-6-0,12
26,1940,20.0,244.0,145.0,305.0,565.0,5-7-0,12
27,5927,20.0,231.0,170.0,180.0,555.0,5-7-0,12
28,5316,18.0,290.0,125.0,268.0,635.0,4-8-0,12
29,4337,18.0,271.0,125.0,206.0,555.0,5-7-0,12
30,1677,18.0,256.0,120.0,184.0,585.0,5-7-0,12
31,6138,18.0,218.0,145.0,208.0,550.0,5-7-0,12
32,4327,16.0,268.0,135.0,221.0,560.0,4-8-0,12
33,3458,16.0,231.0,135.0,128.0,565.0,4-8-0,12
34,6102,16.0,212.0,115.0,180.0,580.0,2-10-0,12
35,6005,16.0,160.0,135.0,133.0,515.0,4-8-0,12
36,5963,15.0,264.0,150.0,174.0,625.0,3-9-0,12
37,5246,15.0,229.0,130.0,228.0,540.0,4-8-0,12
38,5664,14.0,204.0,145.0,208.0,545.0,3-9-0,12
39,5574,13.0,204.0,120.0,143.0,565.0,2-10-0,12
40,4482,11.0,294.0,80.0,193.0,580.0,3-9-0,12
