Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,3620,74.16,4,260,280,122,224,12
2,4967,72.83,36,180,320,142,196,12
3,85,72.75,20,296,200,136,236,12
4,2767,72.75,0,172,160,371,176,12
5,2054,66.58,92,200,160,115,244,12
6,857,62.33,12,188,240,114,218,12
7,5674,59.41,4,108,260,205,160,12
8,5470,58.33,0,96,320,98,186,12
9,2075,57.16,28,212,160,128,188,12
10,3234,54.5,4,172,280,80,154,12
11,4381,50.33,8,128,240,96,150,12
12,2959,49.41,0,100,80,271,166,12
13,5069,49.25,0,48,280,129,164,12
14,3875,48.58,8,80,200,175,144,12
15,5473,45.75,0,72,220,125,156,12
16,2586,45.41,12,148,160,71,166,12
17,4956,44.5,20,72,160,166,134,12
18,3767,44.08,4,64,240,87,164,12
19,5213,43.75,0,104,160,163,128,12
20,288,42.25,28,92,200,103,108,12
21,5486,42.25,20,104,200,63,132,12
22,5710,41.66,0,164,80,114,160,12
23,5664,40.91,0,104,220,77,162,12
24,5745,40.08,0,76,160,73,178,12
25,3458,39.5,28,76,200,85,120,12
26,2405,39.33,0,76,240,68,130,12
27,4482,38.91,0,124,80,133,168,12
28,74,36.41,0,124,120,81,132,12
29,3886,36.0,0,96,80,125,134,12
30,5161,35.66,0,52,160,112,146,12
31,4337,34.66,8,60,100,116,176,12
32,244,33.66,0,88,180,95,142,12
33,4855,33.41,4,24,200,72,122,12
34,5056,33.41,0,92,120,101,100,12
35,5622,33.16,0,84,120,99,112,12
36,5574,32.41,0,72,120,99,104,12
37,5246,32.41,8,68,80,127,118,12
38,216,32.25,8,76,100,105,134,12
39,5248,32.16,4,44,120,100,148,12
40,5255,29.25,0,44,80,109,136,12
