Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,2767,2,1469,319,540,600,249,3-2-0,0,5
2,3546,2,1363,263,620,600,8,5-0-0,0,5
3,4003,1.8,1344,327,640,550,24,4-1-0,0,5
4,2771,1.8,1282,267,660,500,52,4-1-0,0,5
5,858,1.6000000000000001,1364,308,640,600,4,4-1-0,0,5
6,85,1.6000000000000001,1332,378,700,500,7,4-1-0,0,5
7,5980,1.6000000000000001,1303,333,600,550,28,4-1-0,0,5
8,3452,1.6000000000000001,1204,275,620,450,34,4-1-0,0,5
9,6065,1.6000000000000001,1199,79,520,600,9,4-1-0,0,5
10,3234,1.3999999999999999,1417,315,640,650,2,3-2-0,0,5
11,2075,1.3999999999999999,1356,195,560,650,46,3-2-0,0,5
12,3875,1.3999999999999999,1304,265,580,600,54,3-2-0,0,5
13,3572,1.3999999999999999,1299,391,660,500,64,3-2-0,0,5
14,2054,1.3999999999999999,1154,208,600,400,59,3-2-0,0,5
15,4237,1.2,1257,255,620,500,2,3-2-0,0,5
16,5256,1.2,1215,251,660,400,5,3-2-0,0,5
17,107,1.2,1195,135,580,500,0,3-2-0,0,5
18,141,1.2,1040,218,520,350,65,3-2-0,0,5
19,1918,1,1410,338,680,550,50,2-3-0,0,5
20,5502,1,1386,334,640,600,61,2-3-0,0,5
21,4967,1,1250,211,640,450,35,2-3-0,0,5
22,2405,1,1182,271,500,550,62,2-3-0,0,5
23,74,1,1118,206,600,400,28,2-3-0,0,5
24,4482,0.80000000000000004,1282,278,620,550,37,2-3-0,0,5
25,6090,0.80000000000000004,1209,251,620,500,14,2-3-0,0,5
26,3357,0.80000000000000004,1207,384,560,450,122,2-3-0,0,5
27,904,0.80000000000000004,1128,256,620,400,8,2-3-0,0,5
28,5316,0.80000000000000004,1128,198,520,500,3,2-3-0,0,5
29,1188,0.80000000000000004,1103,381,620,400,13,2-3-0,0,5
30,5152,0.80000000000000004,1020,250,420,500,0,2-3-0,0,5
31,4004,0.80000000000000004,961,118,460,400,26,2-3-0,0,5
32,4381,0.80000000000000004,937,180,520,350,2,2-3-0,0,5
33,5927,0.80000000000000004,885,175,480,350,0,2-3-0,0,5
34,2013,0.59999999999999998,988,226,520,300,83,1-4-0,0,5
35,5710,0.40000000000000002,1068,316,640,350,3,1-4-0,0,5
36,3620,0.20000000000000001,983,186,560,350,8,0-5-0,0,5
37,6627,,1035,235,580,400,0,0-5-0,0,5
38,2867,,922,192,520,300,32,0-5-0,0,5
