Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,359,24.00,224.00,190.00,697.00,12-0-0,0,12
2,1622,20.00,306.00,140.00,363.00,10-2-0,0,12
3,4158,18.00,218.00,150.00,455.00,9-3-0,0,12
4,2090,16.00,304.00,190.00,416.00,8-4-0,0,12
5,2443,16.00,260.00,190.00,445.00,8-4-0,0,12
6,3882,16.00,260.00,140.00,289.00,8-4-0,0,12
7,3132,16.00,258.00,140.00,437.00,8-4-0,0,12
8,2438,16.00,188.00,210.00,307.00,8-4-0,0,12
9,4270,16.00,120.00,170.00,329.00,8-4-0,0,12
10,2504,16.00,100.00,110.00,464.00,8-4-0,0,12
11,2439,14.00,166.00,120.00,500.00,7-5-0,0,12
12,1378,14.00,166.00,100.00,358.00,7-5-0,0,12
13,3878,14.00,162.00,140.00,297.00,7-5-0,0,12
14,3721,14.00,162.00,140.00,164.00,7-5-0,0,12
15,2441,14.00,158.00,80.00,200.00,7-5-0,0,12
16,2437,14.00,114.00,170.00,209.00,7-5-0,0,12
17,3881,14.00,104.00,120.00,230.00,7-5-0,0,12
18,4253,12.00,146.00,80.00,302.00,6-6-0,0,12
19,3880,12.00,140.00,90.00,361.00,6-6-0,0,12
20,2453,12.00,102.00,100.00,223.00,6-6-0,0,12
21,2348,10.00,164.00,140.00,308.00,5-7-0,0,12
22,2896,10.00,134.00,70.00,195.00,5-7-0,0,12
23,2445,10.00,130.00,190.00,226.00,5-7-0,0,12
24,4830,10.00,130.00,100.00,308.00,5-7-0,0,12
25,4529,10.00,108.00,170.00,270.00,5-7-0,0,12
26,4374,10.00,104.00,120.00,173.00,5-7-0,0,12
27,4537,10.00,104.00,70.00,261.00,5-7-0,0,12
28,2465,8.00,180.00,130.00,171.00,4-8-0,0,12
29,4218,8.00,146.00,100.00,197.00,4-8-0,0,12
30,2444,8.00,138.00,80.00,184.00,4-8-0,0,12
31,3685,8.00,104.00,160.00,230.00,4-8-0,0,12
32,3008,8.00,86.00,100.00,170.00,4-8-0,0,12
33,3800,6.00,110.00,90.00,176.00,3-9-0,0,12
34,2455,6.00,100.00,90.00,236.00,3-9-0,0,12
35,4774,6.00,90.00,100.00,191.00,3-9-0,0,12
36,2477,6.00,86.00,70.00,164.00,3-9-0,0,12
37,2853,2.00,80.00,130.00,126.00,1-11-0,0,12
