Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,5152,2.57,355,251,1655,155,6-1-0,0,7
2,3539,2.42,420,266,1693,195,6-1-0,0,7
3,3620,2.42,290,227,1829,210,6-1-0,0,7
4,3875,2.28,250,200,1411,105,5-2-0,0,7
5,904,2.14,310,234,1512,135,5-2-0,0,7
6,7160,1.85,315,202,1324,150,4-3-0,0,7
7,5046,1.85,280,241,1613,175,4-3-0,0,7
8,5084,1.71,330,211,1312,150,4-3-0,0,7
9,5205,1.71,325,223,1380,200,4-3-0,0,7
10,2771,1.57,385,248,1498,125,3-4-0,0,7
11,4855,1.57,375,238,1411,155,3-4-0,0,7
12,3357,1.57,375,176,1248,155,4-3-0,0,7
13,3770,1.57,345,210,1380,150,3-4-0,0,7
14,7166,1.57,295,193,1445,185,4-3-0,0,7
15,5166,1.57,245,202,1302,105,3-4-0,0,7
16,5501,1.57,240,198,1071,110,3-4-0,0,7
17,5567,1.42,285,235,1341,170,2-5-0,0,7
18,3534,1.42,285,193,1410,115,4-3-0,0,7
19,5980,1.42,180,242,1350,85,2-5-0,0,7
20,858,1.28,310,179,1189,90,3-4-0,0,7
21,5843,1.14,310,198,1194,160,2-5-0,0,7
22,2405,1.14,280,152,1165,210,3-4-0,0,7
23,5167,1,320,204,1352,125,2-5-0,0,7
24,5860,0.85,240,148,1266,175,2-5-0,0,7
25,6094,0.14,190,156,1098,75,0-7-0,0,7
