Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,375,20.0,150.0,80.0,38.0,370.0,7-1-0,8
2,369,19.0,128.0,80.0,57.0,380.0,7-1-0,8
3,3419,19.0,118.0,95.0,113.0,355.0,7-1-0,8
4,578,18.0,138.0,85.0,58.0,360.0,6-2-0,8
5,5030,18.0,134.0,75.0,50.0,335.0,6-2-0,8
6,1635,17.0,158.0,70.0,76.0,360.0,6-2-0,8
7,5806,17.0,152.0,90.0,28.0,365.0,6-2-0,8
8,694,17.0,122.0,70.0,79.0,300.0,6-2-0,8
9,5781,17.0,106.0,80.0,37.0,295.0,7-1-0,8
10,1796,16.0,136.0,70.0,85.0,330.0,6-2-0,8
11,395,15.0,145.0,75.0,50.0,355.0,5-3-0,8
12,3053,15.0,110.0,80.0,25.0,305.0,5-3-0,8
13,4571,15.0,98.0,75.0,31.0,305.0,6-2-0,8
14,1797,15.0,92.0,55.0,94.0,330.0,5-3-0,8
15,5993,15.0,81.0,65.0,39.0,265.0,6-1-0,8
16,5202,14.0,140.0,60.0,18.0,330.0,5-3-0,8
17,5955,14.0,116.0,90.0,75.0,315.0,6-2-0,8
18,334,14.0,104.0,75.0,45.0,345.0,5-3-0,8
19,2601,13.0,152.0,70.0,48.0,330.0,5-3-0,8
20,1155,13.0,94.0,75.0,34.0,255.0,5-3-0,8
21,333,13.0,88.0,70.0,112.0,265.0,5-3-0,8
22,806,12.0,164.0,75.0,32.0,360.0,4-4-0,8
23,1726,12.0,148.0,60.0,49.0,330.0,5-3-0,8
24,1230,12.0,141.0,40.0,41.0,285.0,4-3-0,8
25,2265,12.0,134.0,60.0,31.0,340.0,5-3-0,8
26,4773,12.0,117.0,45.0,31.0,270.0,5-3-0,8
27,5891,12.0,116.0,70.0,68.0,280.0,5-3-0,8
28,5016,12.0,102.0,65.0,80.0,305.0,4-4-0,8
29,5814,12.0,93.0,55.0,60.0,270.0,5-3-0,8
30,4528,11.0,162.0,60.0,32.0,360.0,4-4-0,8
31,5421,11.0,140.0,45.0,49.0,270.0,4-4-0,8
32,2579,11.0,128.0,65.0,41.0,325.0,3-5-0,8
33,5946,11.0,122.0,70.0,34.0,280.0,4-4-0,8
34,3204,11.0,116.0,55.0,62.0,280.0,4-4-0,8
35,4012,11.0,108.0,65.0,35.0,305.0,4-4-0,8
36,640,11.0,102.0,65.0,10.0,320.0,4-4-0,8
37,4383,11.0,94.0,45.0,36.0,280.0,3-4-0,8
38,335,10.0,126.0,40.0,37.0,315.0,4-4-0,8
39,2895,10.0,107.0,50.0,67.0,220.0,5-2-0,8
40,5558,9.0,102.0,45.0,22.0,240.0,3-5-0,8
41,1600,9.0,90.0,60.0,65.0,230.0,4-4-0,8
42,1396,9.0,72.0,80.0,20.0,265.0,3-5-0,8
43,2869,8.0,120.0,65.0,41.0,305.0,3-5-0,8
44,1382,8.0,112.0,70.0,50.0,285.0,3-5-0,8
45,4263,8.0,70.0,105.0,19.0,230.0,3-5-0,8
46,4481,8.0,65.0,60.0,74.0,240.0,3-5-0,8
47,3017,7.0,115.0,60.0,51.0,285.0,3-5-0,8
48,1660,7.0,95.0,60.0,40.0,240.0,3-4-0,8
49,1546,7.0,70.0,105.0,47.0,215.0,3-5-0,8
50,3760,7.0,48.0,50.0,19.0,225.0,3-5-0,8
51,1884,6.0,92.0,55.0,29.0,195.0,3-5-0,8
52,354,6.0,80.0,70.0,32.0,270.0,2-6-0,8
53,3004,6.0,62.0,45.0,62.0,235.0,2-6-0,8
54,4122,5.0,134.0,55.0,32.0,310.0,1-7-0,8
55,5515,5.0,130.0,50.0,37.0,295.0,2-6-0,8
56,4299,5.0,112.0,15.0,25.0,250.0,2-5-0,8
57,4640,5.0,105.0,50.0,58.0,260.0,2-6-0,8
58,6195,5.0,86.0,50.0,28.0,245.0,2-6-0,8
59,5123,4.0,124.0,40.0,6.0,275.0,2-6-0,8
60,2344,4.0,118.0,50.0,21.0,265.0,2-6-0,8
61,1880,4.0,92.0,60.0,52.0,260.0,2-6-0,8
62,6014,4.0,74.0,55.0,18.0,205.0,2-6-0,8
63,5599,4.0,56.0,35.0,14.0,210.0,2-6-0,8
64,743,2.0,115.0,40.0,23.0,245.0,1-7-0,8
65,3646,2.0,66.0,40.0,35.0,165.0,1-7-0,8
66,5298,0.0,76.0,40.0,30.0,180.0,0-7-0,8
