Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,987,37.0,308.0,215.0,445.0,590.0,10-1-0,11
2,3255,34.0,244.0,145.0,360.0,560.0,9-1-1,11
3,4276,32.0,290.0,155.0,236.0,590.0,9-2-0,11
4,5012,31.0,276.0,170.0,178.0,605.0,9-2-0,11
5,3200,30.0,260.0,155.0,200.0,595.0,7-3-1,11
6,3011,28.0,300.0,130.0,183.0,595.0,8-3-0,11
7,2144,28.0,264.0,140.0,272.0,570.0,7-4-0,11
8,60,28.0,232.0,165.0,124.0,605.0,8-2-1,11
9,3495,27.0,278.0,135.0,426.0,515.0,8-3-0,11
10,3009,27.0,274.0,240.0,196.0,585.0,7-4-0,11
11,842,26.0,270.0,165.0,337.0,575.0,7-4-0,11
12,4415,25.0,250.0,140.0,175.0,600.0,6-5-0,11
13,3128,24.0,230.0,105.0,219.0,550.0,6-5-0,11
14,3794,23.0,267.0,145.0,148.0,575.0,7-4-0,11
15,2486,23.0,262.0,90.0,223.0,550.0,7-4-0,11
16,5429,23.0,260.0,155.0,160.0,620.0,6-5-0,11
17,5199,23.0,256.0,230.0,172.0,560.0,6-5-0,11
18,3965,22.0,247.0,130.0,105.0,625.0,6-5-0,11
19,5869,22.0,236.0,125.0,208.0,525.0,6-5-0,11
20,3491,21.0,300.0,190.0,193.0,590.0,6-5-0,11
21,5851,21.0,271.0,160.0,270.0,535.0,6-5-0,11
22,4603,21.0,240.0,130.0,131.0,550.0,6-5-0,11
23,4984,20.0,304.0,135.0,142.0,560.0,7-4-0,11
24,5449,20.0,268.0,155.0,170.0,575.0,6-5-0,11
25,2543,20.0,252.0,140.0,190.0,550.0,5-6-0,11
26,687,20.0,228.0,130.0,133.0,555.0,5-6-0,11
27,295,19.0,260.0,115.0,198.0,540.0,5-6-0,11
28,5049,19.0,248.0,105.0,216.0,505.0,6-5-0,11
29,2972,18.0,262.0,140.0,178.0,555.0,4-7-0,11
30,1772,18.0,232.0,100.0,138.0,550.0,4-7-0,11
31,1515,18.0,230.0,135.0,155.0,550.0,4-7-0,11
32,5824,18.0,208.0,115.0,126.0,505.0,6-5-0,11
33,5800,18.0,180.0,120.0,179.0,520.0,5-6-0,11
34,2984,17.0,266.0,135.0,165.0,560.0,4-7-0,11
35,597,17.0,252.0,150.0,130.0,555.0,5-6-0,11
36,2839,17.0,203.0,115.0,124.0,520.0,5-6-0,11
37,988,16.0,237.0,80.0,142.0,545.0,3-7-1,11
38,4141,16.0,202.0,85.0,76.0,520.0,4-7-0,11
39,4800,16.0,194.0,130.0,158.0,490.0,4-7-0,11
40,6154,15.0,233.0,100.0,128.0,515.0,4-7-0,11
41,1661,15.0,226.0,90.0,92.0,515.0,3-8-0,11
42,5831,14.0,214.0,105.0,92.0,485.0,4-7-0,11
43,3577,13.0,190.0,120.0,118.0,510.0,2-8-1,11
44,5875,13.0,160.0,135.0,118.0,515.0,3-8-0,11
45,2429,12.0,212.0,65.0,80.0,520.0,3-8-0,11
46,5480,12.0,190.0,115.0,87.0,490.0,3-8-0,11
47,5516,10.0,161.0,70.0,75.0,435.0,2-8-0,11
48,585,9.0,146.0,100.0,77.0,450.0,2-8-1,11
49,4792,8.0,166.0,100.0,103.0,425.0,2-9-0,11
