Rank,Team,QS,Assist,Auto,T&C,G&F,Record (W-L-T),DQ,Played
1,1678,24,960,686,370,261,12-1-0,0,13
2,2813,24,870,466,330,316,12-1-0,0,13
3,971C,24,790,551,320,558,12-1-0,0,13
4,254,20,1100,550,340,465,10-3-0,0,13
5,971,18,920,682,360,314,9-4-0,0,13
6,2135,16,700,488,210,399,8-5-0,0,13
7,3495,16,530,340,280,223,8-5-0,0,13
8,1323,14,680,360,270,225,7-6-0,0,13
9,1662,14,450,465,230,336,7-6-0,0,13
10,2135B,12,590,321,210,206,6-7-0,0,13
11,852,12,500,516,140,304,6-7-0,0,13
12,971B,12,500,431,210,337,6-7-0,0,13
13,1671,12,460,341,310,408,6-7-0,0,13
14,4498B,12,400,376,170,321,6-7-0,0,13
15,3482,10,600,338,150,134,5-8-0,0,13
16,2073,10,500,450,220,187,5-8-0,0,13
17,1671B,10,470,475,190,198,5-8-0,0,13
18,973B,10,440,361,210,257,5-8-0,0,13
19,1323B,10,430,382,190,172,5-8-0,0,13
20,1422,10,430,302,150,285,5-8-0,0,13
21,4498,10,370,316,240,354,5-8-0,0,13
22,4255,10,350,372,190,293,5-8-0,0,13
23,5458,10,330,328,170,253,5-8-0,0,13
24,2073B,8,500,422,150,261,4-9-0,0,13
25,973,8,460,222,230,250,4-9-0,0,13
26,973C,8,370,317,170,268,4-9-0,0,13
27,3970,8,320,356,200,159,4-9-0,0,13
