Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,125,11.0,50.0,25.0,31.0,170.0,4-0-0,4
2,319,11.0,34.0,40.0,26.0,170.0,4-0-0,4
3,811,9.0,66.0,40.0,23.0,185.0,3-1-0,4
4,78,9.0,64.0,30.0,37.0,180.0,3-1-0,4
5,1735,9.0,50.0,30.0,31.0,160.0,3-1-0,4
6,1058,9.0,42.0,30.0,45.0,185.0,3-1-0,4
7,5687,8.0,60.0,60.0,25.0,175.0,3-1-0,4
8,166,8.0,42.0,30.0,16.0,155.0,3-1-0,4
9,238,7.0,60.0,20.0,13.0,175.0,2-2-0,4
10,157,7.0,40.0,25.0,17.0,165.0,2-2-0,4
11,296,6.0,72.0,70.0,16.0,185.0,2-2-0,4
12,501,6.0,70.0,20.0,12.0,165.0,2-2-0,4
13,1519,6.0,54.0,20.0,5.0,175.0,2-2-0,4
14,1073,6.0,22.0,15.0,14.0,120.0,2-1-0,4
15,58,5.0,44.0,25.0,15.0,175.0,1-3-0,4
16,88,5.0,40.0,30.0,15.0,145.0,2-2-0,4
17,1729,3.0,40.0,20.0,15.0,125.0,1-2-0,4
18,5813,3.0,30.0,15.0,10.0,140.0,1-3-0,4
19,509,2.0,54.0,15.0,10.0,115.0,1-3-0,4
20,3467,2.0,34.0,40.0,5.0,100.0,1-3-0,4
21,1289,2.0,20.0,10.0,10.0,110.0,1-3-0,4
22,1153,0.0,42.0,5.0,10.0,120.0,0-3-0,4
23,2342,0.0,30.0,15.0,16.0,90.0,0-4-0,4
