Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,4048,79.83,22,204,360,150,240,12
2,176,74.83,0,196,380,150,178,12
3,316,69.75,12,128,360,111,238,12
4,166,68.91,4,176,340,149,170,12
5,3146,68.83,34,168,320,122,200,12
6,3718,68.5,30,164,320,142,190,12
7,3623,65.5,4,184,360,82,168,12
8,1991,65.08,12,216,260,139,172,12
9,61,64.41,26,252,240,19,242,12
10,178,63.5,0,136,380,74,172,12
11,571,63.5,20,104,360,124,184,12
12,501,61.25,16,164,320,87,148,12
13,716,60.08,0,100,360,109,162,12
14,175,59.08,36,140,280,63,208,12
15,839,59.0,20,180,240,68,218,12
16,4546,58.08,14,144,280,117,148,12
17,2168,57.75,8,80,280,169,162,12
18,3182,57.5,36,92,360,78,142,12
19,4958,57.08,10,84,360,83,160,12
20,1699,56.33,16,176,200,110,204,12
21,663,55.83,12,128,320,54,178,12
22,3719,55.08,12,108,320,89,156,12
23,3205,54.66,20,140,240,112,156,12
24,2370,54.5,32,100,320,62,146,12
25,213,53.33,0,84,300,104,170,12
26,5782,51.0,0,96,300,96,150,12
27,181,49.75,4,92,280,115,106,12
28,151,48.66,10,108,260,86,144,12
29,2523,47.83,34,96,260,44,176,12
30,4034,47.33,8,56,340,54,120,12
31,4097,46.66,0,100,280,76,122,12
32,177,46.66,0,92,240,80,166,12
33,3585,41.5,4,100,220,76,104,12
