Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,3015,22,148,100,219,365,7-0-0,0,7
2,5406,19,164,95,109,360,6-1-0,0,7
3,191,17,156,80,71,380,5-2-0,0,7
4,639,17,151,125,101,385,5-2-0,0,7
5,5254,16,123,85,79,355,5-2-0,0,7
6,4930,16,114,85,82,310,6-1-0,0,7
7,1551,15,159,140,60,395,5-2-0,0,7
8,5030,15,135,110,102,335,5-2-0,0,7
9,6490,15,134,80,88,345,5-2-0,0,7
10,4039,14,192,70,148,360,4-3-0,0,7
11,222,14,128,105,155,330,4-3-0,0,7
12,1511,13,171,85,116,350,4-3-0,0,7
13,578,13,150,90,93,355,4-3-0,0,7
14,378,13,127,65,61,355,3-4-0,0,7
15,1126,13,118,65,75,350,4-3-0,0,7
16,3173,12,147,75,91,355,3-4-0,0,7
17,2340,12,142,80,80,345,3-4-0,0,7
18,291,12,114,45,73,335,4-3-0,0,7
19,1360,12,84,60,91,300,3-4-0,0,7
20,20,12,80,70,78,270,4-3-0,0,7
21,3951,11,166,85,72,355,3-4-0,0,7
22,1585,11,138,60,64,335,4-3-0,0,7
23,2228,11,116,85,94,315,3-4-0,0,7
24,1405,11,80,75,34,305,3-4-0,0,7
25,1559,10,151,70,81,365,2-5-0,0,7
26,3181,10,131,80,49,320,3-4-0,0,7
27,3838,10,123,70,107,295,2-5-0,0,7
28,3044,9,118,50,55,335,2-5-0,0,7
29,1507,9,112,70,61,330,2-5-0,0,7
30,3003,9,80,80,93,305,3-4-0,0,7
31,9999,7,86,80,48,290,2-5-0,0,7
32,340,6,88,70,102,260,2-5-0,0,7
33,1518,6,66,125,35,260,2-5-0,0,7
34,1334,4,88,85,62,280,1-6-0,0,7
35,9998,3,102,55,57,295,0-7-0,0,7
