Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1662,30.00,122.00,60.00,152.00,10,10-1-0,0,11
2,1574,26.00,129.00,70.00,125.00,6,10-1-0,0,11
3,3351,26.00,96.00,50.00,79.00,12,7-4-0,0,11
4,1690,26.00,80.00,30.00,156.00,6,10-1-0,0,11
5,1657,26.00,60.00,80.00,93.00,12,7-4-0,0,11
6,2630,25.00,61.00,80.00,88.00,8,8-2-1,0,11
7,1731,24.00,88.00,80.00,85.00,4,10-1-0,0,11
8,1577,22.00,60.00,40.00,89.00,10,6-5-0,0,11
9,1946,22.00,45.00,70.00,89.00,8,7-4-0,0,11
10,3316,20.00,138.00,30.00,90.00,6,7-4-0,0,11
11,1942,20.00,93.00,60.00,108.00,2,9-1-0,1,11
12,2216,20.00,69.00,30.00,94.00,6,7-4-0,0,11
13,3835,19.00,67.00,30.00,46.00,8,5-5-1,0,11
14,4320,18.00,76.00,50.00,43.00,6,6-5-0,0,11
15,1952,18.00,68.00,30.00,84.00,6,6-5-0,0,11
16,3339,18.00,48.00,40.00,84.00,6,6-5-0,0,11
17,2213,18.00,42.00,40.00,110.00,4,7-4-0,0,11
18,1954,17.00,51.00,20.00,76.00,4,6-4-1,0,11
19,2679,17.00,48.00,50.00,103.00,4,6-4-1,0,11
20,3052,17.00,44.00,20.00,76.00,8,4-6-1,0,11
21,2231,16.00,71.00,100.00,66.00,4,6-5-0,0,11
22,1576,15.00,74.00,50.00,76.00,4,5-5-1,0,11
23,3211,14.00,85.00,30.00,97.00,4,5-6-0,0,11
24,2230,14.00,44.00,40.00,80.00,6,4-7-0,0,11
25,1573,14.00,31.00,20.00,59.00,8,3-7-0,1,11
26,1944,14.00,21.00,10.00,77.00,6,4-7-0,0,11
27,4326,13.00,84.00,30.00,78.00,2,5-5-1,0,11
28,1580,13.00,29.00,30.00,38.00,2,5-5-1,0,11
29,1937,12.00,78.00,40.00,71.00,4,4-7-0,0,11
30,3087,12.00,63.00,30.00,55.00,2,5-6-0,0,11
31,2214,12.00,57.00,40.00,90.00,2,5-6-0,0,11
32,2672,12.00,40.00,10.00,57.00,2,5-5-0,1,11
33,3388,12.00,37.00,20.00,52.00,4,4-7-0,0,11
34,1578,11.00,60.00,40.00,40.00,4,3-6-1,1,11
35,3358,11.00,60.00,10.00,65.00,2,4-6-1,0,11
36,4338,10.00,46.00,20.00,74.00,2,4-7-0,0,11
37,2212,10.00,34.00,20.00,63.00,0,5-6-0,0,11
38,3083,10.00,20.00,50.00,111.00,4,3-8-0,0,11
39,4319,9.00,47.00,20.00,70.00,4,2-8-1,0,11
40,3775,8.00,65.00,40.00,62.00,0,4-7-0,0,11
41,3774,8.00,64.00,10.00,50.00,0,4-6-0,1,11
42,4406,8.00,32.00,0,62.00,4,2-9-0,0,11
43,1943,8.00,22.00,40.00,23.00,4,2-8-0,1,11
44,3075,7.00,36.00,10.00,52.00,0,3-7-1,0,11
45,3766,6.00,26.00,0,43.00,2,2-9-0,0,11
46,3065,4.00,53.00,60.00,53.00,2,1-10-0,0,11
