Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,4334,38.0,258.0,155.0,410.0,560.0,11-0-0,11
2,2013,34.0,268.0,195.0,326.0,510.0,9-1-0,11
3,4627,30.0,204.0,120.0,203.0,550.0,9-2-0,11
4,6082,29.0,204.0,130.0,195.0,530.0,8-3-0,11
5,3211,28.0,288.0,135.0,326.0,540.0,8-3-0,11
6,5725,26.0,228.0,130.0,149.0,500.0,8-3-0,11
7,4634,23.0,246.0,140.0,155.0,560.0,6-4-1,11
8,5078,23.0,146.0,130.0,156.0,485.0,7-4-0,11
9,288,22.0,268.0,130.0,148.0,550.0,7-4-0,11
10,3354,22.0,202.0,120.0,221.0,475.0,8-3-0,11
11,4010,21.0,230.0,105.0,102.0,590.0,6-5-0,11
12,4613,21.0,210.0,135.0,181.0,515.0,5-5-1,11
13,5897,21.0,184.0,125.0,142.0,530.0,5-5-1,11
14,2130,21.0,162.0,155.0,264.0,440.0,7-4-0,11
15,3216,20.0,236.0,125.0,121.0,550.0,5-6-0,11
16,1482,20.0,176.0,120.0,146.0,485.0,6-5-0,11
17,6178,19.0,234.0,120.0,175.0,520.0,6-5-0,11
18,4604,19.0,188.0,110.0,119.0,550.0,4-7-0,11
19,4497,19.0,154.0,95.0,106.0,480.0,5-5-1,11
20,6106,18.0,228.0,120.0,140.0,530.0,5-6-0,11
21,6041,18.0,218.0,125.0,136.0,500.0,5-6-0,11
22,6169,18.0,208.0,115.0,176.0,515.0,6-5-0,11
23,5015,18.0,176.0,125.0,186.0,490.0,3-7-1,11
24,5630,17.0,136.0,120.0,155.0,470.0,5-6-0,11
25,216,16.0,226.0,120.0,174.0,530.0,5-6-0,11
26,4625,16.0,212.0,100.0,123.0,515.0,4-7-0,11
27,4733,16.0,208.0,115.0,143.0,475.0,4-7-0,11
28,244,15.0,184.0,100.0,130.0,435.0,5-6-0,11
29,6008,14.0,234.0,95.0,137.0,470.0,4-7-0,11
30,3933,14.0,200.0,110.0,87.0,520.0,3-8-0,11
31,4633,13.0,180.0,100.0,124.0,465.0,3-8-0,11
32,5118,13.0,176.0,90.0,95.0,495.0,3-7-1,11
33,5117,13.0,144.0,95.0,153.0,430.0,3-8-0,11
34,6188,11.0,192.0,100.0,126.0,425.0,4-7-0,11
35,5597,9.0,174.0,90.0,78.0,405.0,2-9-0,11
36,5064,6.0,132.0,75.0,74.0,445.0,1-10-0,11
