Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,1986,10,0,0,10,20.00,17.80
2,662,9,0,1,10,19.00,13.00
3,624,9,1,0,10,18.00,17.90
4,1619,8,2,0,10,16.00,19.80
5,2036,7,2,1,10,15.00,7.50
6,1515,7,3,0,10,14.00,19.90
7,1332,7,3,0,10,14.00,15.20
8,159,7,3,0,10,14.00,10.80
9,1348,6,2,2,10,14.00,8.60
10,2996,7,2,0,9,14.00,6.50
11,443,6,2,2,10,14.00,5.10
12,3729,6,4,0,10,12.00,9.10
13,3403,5,3,2,10,12.00,6.70
14,1410,5,4,1,10,11.00,13.60
15,1977,5,4,1,10,11.00,6.60
16,3648,5,4,1,10,11.00,3.50
17,1158,5,5,0,10,10.00,13.90
18,3643,4,4,2,10,10.00,9.50
19,3200,4,4,2,10,10.00,6.50
20,2352,4,5,1,10,9.00,18.10
21,2945,4,5,1,10,9.00,14.00
22,1339,4,5,1,10,9.00,9.80
23,3807,3,4,3,10,9.00,7.70
24,1157,4,4,1,9,9.00,7.60
25,3510,4,3,1,8,9.00,6.30
26,2240,4,6,0,10,8.00,9.30
27,1789,3,5,2,10,8.00,8.80
28,1303,3,3,2,8,8.00,8.00
29,1799,4,6,0,10,8.00,6.50
30,1377,4,6,0,10,8.00,3.60
31,2275,3,6,1,10,7.00,10.70
32,1361,3,6,1,10,7.00,9.40
33,1583,3,5,1,9,7.00,6.60
34,2259,3,6,1,10,7.00,5.20
35,1691,3,6,1,10,7.00,4.60
36,2711,3,6,1,10,7.00,4.30
37,2859,3,5,1,9,7.00,3.10
38,3354,3,7,0,10,6.00,7.90
39,2972,3,7,0,10,6.00,6.20
40,1245,3,7,0,10,6.00,3.50
41,1584,2,6,2,10,6.00,3.20
42,3703,3,5,0,8,6.00,2.50
43,3315,2,7,1,10,5.00,9.80
44,2083,2,7,1,10,5.00,6.10
45,499,1,6,2,9,4.00,7.40
