Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,1241,2,1578,268,780,650,13,6-0-0,0,6
2,4343,1.66,1408,158,660,650,13,5-1-0,0,6
3,6070,1.66,1265,170,680,450,0,5-1-0,0,6
4,4939,1.5,1430,260,820,500,0,4-2-0,0,6
5,4814,1.33,1487,317,800,600,7,4-2-0,0,6
6,3683,1.33,1395,244,640,600,55,4-2-0,0,6
7,6513,1.33,1234,146,660,450,14,4-2-0,0,6
8,4678,1.33,1230,143,660,450,10,4-2-0,0,6
9,746,1.16,1340,210,600,650,5,3-2-1,0,6
10,1325,1.16,1207,202,640,450,22,3-3-0,0,6
11,5834,1,1419,264,740,550,14,3-3-0,0,6
12,5036,1,1409,185,680,650,4,3-3-0,0,6
13,5719,1,1365,60,640,650,10,3-3-0,0,6
14,1075,1,1253,193,600,550,23,3-3-0,0,6
15,6009,1,1193,212,640,450,13,3-3-0,0,6
16,865,1,1191,126,620,500,6,3-3-0,0,6
17,5428,1,1185,215,680,400,20,3-3-0,0,6
18,2708,0.83,1462,322,720,600,7,2-3-1,0,6
19,6632,0.83,1264,333,760,400,4,2-3-1,0,6
20,854,0.83,1229,327,680,400,4,2-3-1,0,6
21,5921,0.83,1199,264,660,400,4,2-4-0,0,6
22,2994,0.83,1180,150,580,500,0,2-3-1,0,6
23,5031,0.83,1097,193,560,450,17,2-3-1,0,6
24,771,0.66,1352,277,700,500,7,2-4-0,0,6
25,4917,0.66,1298,207,640,550,23,2-4-0,0,6
26,1246,0.66,1197,81,560,550,12,2-4-0,0,6
27,1310,0.66,1188,155,620,450,23,2-4-0,0,6
28,1285,0.66,1187,135,660,450,2,2-4-0,0,6
29,4001,0.33,1072,217,560,400,22,1-5-0,0,6
30,6135,0.33,1005,260,620,300,0,1-5-0,0,6
