Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,2056,20.00,406.00,260.00,793.00,10-1-0,0,11
2,1114,20.00,354.00,400.00,959.00,10-1-0,0,11
3,1334,18.00,328.00,260.00,605.00,9-2-0,0,11
4,2013,18.00,308.00,340.00,429.00,9-2-0,0,11
5,1241,16.00,404.00,230.00,582.00,8-3-0,0,11
6,1310,16.00,388.00,240.00,474.00,8-3-0,0,11
7,4039,16.00,288.00,190.00,707.00,8-3-0,0,11
8,1305,16.00,282.00,210.00,314.00,8-3-0,0,11
9,3756,16.00,282.00,190.00,372.00,8-3-0,0,11
10,3683,14.00,404.00,240.00,520.00,7-4-0,0,11
11,4069,14.00,358.00,190.00,519.00,7-4-0,0,11
12,3117,14.00,286.00,280.00,642.00,7-4-0,0,11
13,3161,14.00,200.00,220.00,481.00,7-4-0,0,11
14,1547,12.00,336.00,220.00,318.00,6-5-0,0,11
15,3571,12.00,302.00,220.00,446.00,6-5-0,0,11
16,4704,12.00,272.00,210.00,401.00,6-5-0,0,11
17,907,12.00,248.00,230.00,548.00,6-5-0,0,11
18,2935,12.00,218.00,220.00,419.00,6-5-0,0,11
19,772,12.00,204.00,200.00,580.00,6-5-0,0,11
20,4343,10.00,256.00,230.00,431.00,5-6-0,0,11
21,4783,10.00,250.00,120.00,392.00,5-6-0,0,11
22,4825,10.00,236.00,240.00,394.00,5-6-0,0,11
23,1503,10.00,232.00,240.00,641.00,5-6-0,0,11
24,1325,10.00,216.00,260.00,251.00,5-6-0,0,11
25,2994,10.00,212.00,330.00,329.00,5-6-0,0,11
26,190,10.00,198.00,390.00,355.00,5-6-0,0,11
27,771,10.00,190.00,190.00,398.00,5-6-0,0,11
28,4518,10.00,190.00,170.00,435.00,5-6-0,0,11
29,2185,10.00,184.00,130.00,333.00,5-6-0,0,11
30,1075,8.00,262.00,180.00,263.00,4-7-0,0,11
31,3560,8.00,224.00,120.00,338.00,4-7-0,0,11
32,4814,8.00,182.00,110.00,271.00,4-7-0,0,11
33,4732,8.00,172.00,190.00,236.00,4-7-0,0,11
34,4659,8.00,162.00,140.00,232.00,4-5-0,2,11
35,4716,8.00,138.00,170.00,336.00,4-7-0,0,11
36,1815,8.00,118.00,230.00,400.00,4-7-0,0,11
37,4688,6.00,216.00,110.00,240.00,3-8-0,0,11
38,2634,6.00,194.00,220.00,365.00,3-8-0,0,11
39,4817,6.00,168.00,130.00,271.00,3-8-0,0,11
40,4595,6.00,166.00,130.00,436.00,3-8-0,0,11
41,4754,6.00,152.00,160.00,288.00,3-8-0,0,11
42,4083,6.00,146.00,140.00,233.00,3-8-0,0,11
43,3705,4.00,106.00,340.00,313.00,2-9-0,0,11
44,854,2.00,152.00,100.00,248.00,1-10-0,0,11
