Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,1114,11,0,0,11,22.00,52.27
2,1310,10,0,0,10,20.00,23.63
3,781,9,2,0,11,18.00,23.54
4,2056,7,3,0,10,14.00,32.09
5,2702,7,4,0,11,14.00,31.90
6,3683,7,4,0,11,14.00,30.00
7,2361,7,3,0,10,14.00,20.63
8,1241,7,4,0,11,14.00,20.54
9,288,7,4,0,11,14.00,14.72
10,610,6,5,0,11,12.00,39.81
11,1075,6,5,0,11,12.00,37.09
12,244,6,5,0,11,12.00,20.18
13,2609,5,6,0,11,10.00,29.63
14,3396,5,6,0,11,10.00,27.54
15,1312,5,6,0,11,10.00,25.63
16,2200,5,5,0,10,10.00,19.00
17,1846,5,4,0,9,10.00,12.45
18,216,4,7,0,11,8.00,25.63
19,865,4,6,0,10,8.00,20.81
20,2625,4,5,0,9,8.00,17.18
21,1535,4,6,0,10,8.00,17.00
22,1305,3,8,0,11,6.00,33.45
23,3161,3,7,0,10,6.00,20.54
24,1325,3,7,0,10,6.00,18.09
25,3756,3,7,0,10,6.00,17.00
26,1219,3,5,0,8,6.00,16.27
27,907,2,8,0,10,4.00,26.09
28,1334,2,8,0,10,4.00,16.72
29,843,2,5,0,7,4.00,12.18
