Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,148,9,0,0,9,18.00,10.77
2,1296,8,1,0,9,16.00,18.33
3,2848,8,1,0,9,16.00,7.44
4,704,7,1,1,9,15.00,8.88
5,647,7,2,0,9,14.00,9.55
6,3802,7,2,0,9,14.00,8.11
7,3507,6,1,1,8,13.00,11.44
8,1817,6,2,1,9,13.00,9.77
9,3310,6,2,1,9,13.00,6.44
10,3666,4,0,5,9,13.00,2.66
11,2948,6,3,0,9,12.00,8.44
12,418,5,2,2,9,12.00,7.00
13,3369,5,2,2,9,12.00,4.22
14,2995,4,2,3,9,11.00,8.77
15,3370,5,2,1,8,11.00,6.44
16,2864,4,1,3,8,11.00,5.22
17,3392,4,2,3,9,11.00,1.44
18,3697,4,3,2,9,10.00,8.66
19,3522,5,4,0,9,10.00,5.33
20,3413,5,4,0,9,10.00,3.11
21,3350,3,3,3,9,9.00,6.66
22,3043,2,2,5,9,9.00,4.00
23,3529,3,3,3,9,9.00,3.22
24,1745,3,3,3,9,9.00,2.00
25,3626,4,4,1,9,9.00,2.00
26,3795,4,5,0,9,8.00,8.11
27,3282,3,3,2,8,8.00,3.11
28,3037,3,3,2,8,8.00,2.00
29,2965,3,3,2,8,8.00,1.00
30,2805,1,2,6,9,8.00,0.33
31,2283,3,4,1,8,7.00,6.22
32,437,3,5,1,9,7.00,3.66
33,2953,2,2,3,7,7.00,2.33
34,2950,3,5,1,9,7.00,1.22
35,3005,2,2,3,7,7.00,1.00
36,3497,2,4,3,9,7.00,0.66
37,2897,2,4,2,8,6.00,8.11
38,2943,2,4,2,8,6.00,3.11
39,2735,3,6,0,9,6.00,2.55
40,3819,1,4,4,9,6.00,1.33
41,3761,2,3,2,7,6.00,0.88
42,3867,1,4,3,8,5.00,4.00
43,2857,1,4,3,8,5.00,3.44
44,3676,2,6,1,9,5.00,3.22
45,3508,1,4,3,8,5.00,0
46,3791,0,4,5,9,5.00,0
47,3384,1,4,2,7,4.00,1.66
48,3409,1,6,2,9,4.00,0.77
49,2747,0,5,3,8,3.00,7.00
50,3857,1,4,1,6,3.00,6.00
51,3355,1,6,1,8,3.00,1.88
52,3730,1,7,1,9,3.00,0.44
