Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1507,34.00,158.00,100.00,194.00,12,11-1-0,0,12
2,340,26.00,156.00,100.00,113.00,8,9-3-0,0,12
3,2172,26.00,104.00,20.00,75.00,10,8-4-0,0,12
4,229,26.00,81.00,90.00,146.00,6,10-2-0,0,12
5,174,26.00,68.00,80.00,121.00,6,10-2-0,0,12
6,639,24.00,34.00,80.00,61.00,10,7-5-0,0,12
7,191,22.00,82.00,70.00,128.00,6,8-4-0,0,12
8,1551,22.00,76.00,60.00,90.00,12,5-7-0,0,12
9,1511,22.00,36.00,90.00,109.00,8,7-5-0,0,12
10,3003,20.00,98.00,100.00,89.00,10,5-7-0,0,12
11,378,20.00,95.00,80.00,61.00,4,8-4-0,0,12
12,843,20.00,75.00,80.00,55.00,8,6-6-0,0,12
13,1126,20.00,70.00,40.00,99.00,6,7-5-0,0,12
14,3044,20.00,52.00,130.00,43.00,6,7-5-0,0,12
15,3015,18.00,120.00,110.00,98.00,4,7-5-0,0,12
16,3838,18.00,108.00,110.00,92.00,2,8-4-0,0,12
17,2053,18.00,87.00,30.00,89.00,6,6-6-0,0,12
18,2228,18.00,67.00,50.00,117.00,6,6-6-0,0,12
19,578,18.00,65.00,70.00,52.00,4,7-5-0,0,12
20,3951,18.00,61.00,70.00,83.00,8,5-7-0,0,12
21,3173,18.00,59.00,40.00,103.00,2,8-4-0,0,12
22,4093,18.00,54.00,50.00,66.00,8,5-7-0,0,12
23,4124,18.00,48.00,40.00,107.00,4,7-5-0,0,12
24,250,16.00,99.00,80.00,76.00,4,6-6-0,0,12
25,3181,16.00,50.00,90.00,67.00,8,4-8-0,0,12
26,145,16.00,38.00,60.00,94.00,4,6-6-0,0,12
27,1559,14.00,94.00,70.00,124.00,0,7-5-0,0,12
28,1591,14.00,72.00,50.00,77.00,6,4-8-0,0,12
29,73,14.00,61.00,80.00,83.00,2,6-6-0,0,12
30,3157,14.00,58.00,80.00,76.00,4,5-7-0,0,12
31,4203,14.00,49.00,70.00,58.00,4,5-7-0,0,12
32,1518,14.00,40.00,90.00,88.00,2,6-6-0,0,12
33,3613,14.00,37.00,30.00,100.00,8,3-9-0,0,12
34,2340,12.00,64.00,60.00,81.00,2,5-7-0,0,12
35,3842,12.00,51.00,20.00,63.00,4,4-8-0,0,12
36,120,12.00,43.00,30.00,38.00,8,2-10-0,0,12
37,1405,10.00,74.00,50.00,74.00,4,3-9-0,0,12
38,1450,10.00,41.00,30.00,71.00,4,3-9-0,0,12
39,3799,10.00,38.00,30.00,87.00,4,3-9-0,0,12
40,3687,8.00,56.00,50.00,53.00,2,3-9-0,0,12
41,1765,8.00,52.00,40.00,76.00,2,3-7-0,2,12
