Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,558,20.00,500.00,532.00,330.00,278.00,10-2-0,0,12
2,177,20.00,460.00,601.00,440.00,457.00,10-2-0,0,12
3,175,18.00,500.00,551.00,350.00,456.00,9-3-0,0,12
4,4055,18.00,400.00,560.00,240.00,254.00,9-3-0,0,12
5,176,18.00,360.00,527.00,300.00,451.00,9-3-0,0,12
6,236,18.00,300.00,695.00,270.00,345.00,9-3-0,0,12
7,716,16.00,410.00,525.00,300.00,333.00,8-4-0,0,12
8,1991,16.00,320.00,468.00,270.00,427.00,8-4-0,0,12
9,3634,16.00,300.00,485.00,200.00,310.00,8-4-0,0,12
10,3525,16.00,250.00,567.00,320.00,369.00,8-4-0,0,12
11,230,14.00,360.00,611.00,240.00,236.00,7-5-0,0,12
12,3464,14.00,320.00,491.00,310.00,307.00,7-5-0,0,12
13,999,14.00,310.00,503.00,200.00,313.00,7-5-0,0,12
14,4628,14.00,260.00,391.00,240.00,274.00,7-5-0,0,12
15,1124,14.00,250.00,420.00,200.00,489.00,7-5-0,0,12
16,571,14.00,220.00,350.00,170.00,351.00,7-5-0,0,12
17,5129,12.00,420.00,365.00,200.00,337.00,6-6-0,0,12
18,228,12.00,390.00,509.00,260.00,298.00,6-6-0,0,12
19,181,12.00,320.00,557.00,220.00,313.00,6-6-0,0,12
20,2067,12.00,300.00,498.00,180.00,344.00,6-6-0,0,12
21,5142,12.00,260.00,393.00,210.00,253.00,6-6-0,0,12
22,3555,12.00,150.00,302.00,280.00,282.00,6-6-0,0,12
23,95,10.00,420.00,424.00,160.00,142.00,5-7-0,0,12
24,178,10.00,400.00,523.00,290.00,147.00,5-7-0,0,12
25,4557,10.00,360.00,477.00,190.00,203.00,5-7-0,0,12
26,4572,10.00,300.00,458.00,240.00,258.00,5-7-0,0,12
27,3566,10.00,290.00,466.00,290.00,311.00,5-7-0,0,12
28,4958,10.00,180.00,401.00,300.00,366.00,5-7-0,0,12
29,3182,8.00,380.00,397.00,210.00,276.00,4-8-0,0,12
30,1687,8.00,280.00,339.00,130.00,239.00,4-8-0,0,12
31,4097,8.00,270.00,407.00,220.00,290.00,4-8-0,0,12
32,839,8.00,190.00,452.00,200.00,144.00,4-8-0,0,12
33,3146,8.00,180.00,409.00,130.00,240.00,4-7-0,1,12
34,2785,8.00,140.00,494.00,180.00,277.00,4-8-0,0,12
35,2170,6.00,300.00,411.00,170.00,224.00,3-9-0,0,12
36,238,6.00,240.00,432.00,210.00,217.00,3-9-0,0,12
37,3104,6.00,140.00,472.00,130.00,250.00,3-9-0,0,12
38,1740,6.00,130.00,438.00,180.00,133.00,3-9-0,0,12
39,173,4.00,170.00,450.00,160.00,138.00,2-10-0,0,12
