Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,3419,77.5,0,272,120,38,196,8
2,694,56.0,0,140,80,128,112,8
3,3171,53.37,4,120,120,37,164,8
4,1635,47.25,4,88,120,42,130,8
5,5308,46.87,0,120,80,89,116,8
6,354,46.5,0,152,0,96,130,8
7,743,45.37,0,52,160,91,78,8
8,1884,45.25,4,100,80,82,108,8
9,2344,43.12,0,164,0,69,130,8
10,2579,42.87,0,132,40,69,114,8
11,806,41.12,4,60,80,97,106,8
12,1860,40.62,12,72,0,127,120,8
13,1396,39.87,4,40,80,115,86,8
14,5773,38.75,4,92,80,59,98,8
15,4122,38.25,4,60,120,42,80,8
16,229,37.62,4,60,80,97,78,8
17,371,37.5,4,84,80,78,78,8
18,334,37.5,0,100,40,98,104,8
19,1660,37.37,0,92,0,113,100,8
20,4856,36.87,0,64,120,59,82,8
21,358,36.87,4,84,40,68,114,8
22,271,36.87,0,60,40,109,98,8
23,3760,36.62,0,52,80,93,70,8
24,810,36.25,0,68,120,48,78,8
25,1546,36.25,0,96,80,38,112,8
26,5289,36.25,0,92,80,46,90,8
27,1796,35.25,0,72,80,52,84,8
28,5202,34.5,0,80,40,78,84,8
29,4571,34.25,4,64,80,68,92,8
30,2601,33.87,0,68,80,29,94,8
31,395,32.37,0,84,40,43,96,8
32,2895,32.25,0,68,80,60,68,8
33,4528,32.0,0,60,80,54,68,8
34,5298,31.37,0,52,80,31,94,8
35,335,31.25,0,68,40,90,70,8
36,369,31.12,0,36,80,55,120,8
37,3053,29.5,0,60,40,60,82,8
38,333,28.37,0,28,120,41,60,8
39,4640,28.37,0,52,40,71,76,8
40,1155,28.0,0,48,40,74,66,8
41,1600,27.62,4,64,0,86,84,8
42,3059,26.25,4,44,40,62,84,8
43,421,25.87,0,52,80,49,62,8
44,640,25.75,0,48,40,78,52,8
45,375,25.12,4,28,40,77,70,8
46,5421,25.0,0,64,40,34,92,8
47,5599,24.62,0,32,40,61,82,8
48,5781,24.62,4,56,0,73,76,8
49,5123,24.5,4,52,40,58,62,8
50,1230,24.5,0,68,0,78,76,8
51,1880,24.12,0,52,0,73,86,8
52,5453,23.62,0,28,80,80,52,8
53,4012,22.75,0,36,80,39,56,8
54,514,21.62,0,24,40,49,66,8
55,3204,21.0,0,28,40,36,70,8
56,5452,20.37,0,60,0,33,84,8
57,4773,20.25,0,20,40,68,58,8
58,4684,19.75,0,20,80,58,42,8
59,4263,18.87,0,16,40,63,62,8
60,2265,18.62,0,60,0,43,66,8
61,4383,18.5,0,24,40,64,32,8
62,4830,16.25,0,32,0,56,72,8
63,1468,15.0,4,36,0,30,74,8
64,4299,14.62,0,36,0,55,74,8
65,5151,11.0,0,28,0,24,40,8
66,5558,6.37,0,16,0,31,32,8
