Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,3847,23,178,105,151,440,8-0-0,0,8
2,4587,21,176,60,309,375,7-0-0,1,8
3,2183,21,152,90,165,445,7-1-0,0,8
4,3991,20,184,95,188,470,6-2-0,0,8
5,1927,17,174,70,164,385,6-2-0,0,8
6,5864,16,182,75,106,430,4-4-0,0,8
7,1912,15,152,90,114,435,4-4-0,0,8
8,2992,15,130,85,92,415,4-4-0,0,8
9,4087,14,148,90,144,395,4-4-0,0,8
10,3337,14,118,55,63,330,5-3-0,0,8
11,2221,13,186,75,154,395,4-4-0,0,8
12,4336,13,158,65,63,420,2-6-0,0,8
13,3753,13,116,65,107,370,4-4-0,0,8
14,3616,12,166,75,128,400,3-5-0,0,8
15,5863,11,158,60,123,390,3-5-0,0,8
16,3946,10,166,60,113,350,3-5-0,0,8
17,2080,10,100,80,114,345,3-5-0,0,8
18,5168,9,114,75,65,350,2-6-0,0,8
19,4209,8,104,55,64,325,2-6-0,0,8
20,4978,7,140,50,45,370,2-6-0,0,8
21,4107,6,114,50,89,340,2-6-0,0,8
22,5892,,0,0,0,0,0-0-0,8,8
