Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1678,109.6,168,440,40,150,310,10
2,254,104.4,164,440,40,136,288,10
3,701,73.8,24,272,160,60,234,10
4,3970,71.4,40,244,80,162,212,10
5,2102,66.0,24,228,120,100,212,10
6,1671,64.3,8,316,40,85,220,10
7,295,61.3,20,204,120,131,174,10
8,670,60.6,20,136,160,124,172,10
9,4543,58.8,28,92,240,134,124,10
10,3495,58.0,20,160,40,224,166,10
11,3501,56.2,32,140,160,118,130,10
12,2839,54.6,40,148,40,178,176,10
13,649,53.4,28,148,40,134,214,10
14,2637,53.2,20,228,0,90,212,10
15,1351,52.3,24,168,120,119,140,10
16,4135,51.5,8,132,80,139,192,10
17,1662,50.7,4,168,120,71,156,10
18,4711,49.9,0,88,120,167,150,10
19,585,49.8,36,156,40,124,160,10
20,581,49.3,20,136,80,101,162,10
21,2465,47.4,36,128,40,134,166,10
22,3881,47.2,8,124,120,112,138,10
23,692,46.4,24,108,80,116,148,10
24,604,45.4,20,140,80,73,160,10
25,2761,45.4,40,136,40,82,162,10
26,2073,43.7,12,140,0,125,178,10
27,4255,43.4,32,104,40,148,130,10
28,5104,41.4,20,120,80,82,136,10
29,5134,40.6,48,128,40,82,140,10
30,1323,40.5,20,88,120,67,134,10
31,3120,40.0,40,128,0,90,148,10
32,4643,38.9,48,84,80,69,122,10
33,2543,38.4,8,116,40,78,142,10
34,751,38.1,20,112,120,47,102,10
35,1967,37.5,12,120,80,45,132,10
36,4183,37.5,0,108,80,89,124,10
37,3925,36.9,0,68,120,60,152,10
38,8,35.7,8,108,40,69,138,10
39,4470,35.4,32,96,40,74,112,10
40,5529,35.3,16,60,120,63,106,10
41,2429,34.5,8,68,80,65,130,10
42,3303,33.9,8,52,120,33,156,10
43,256,33.3,48,104,40,47,118,10
44,4973,32.4,0,76,80,74,102,10
45,2367,31.8,0,32,120,46,120,10
46,841,30.2,0,72,40,62,134,10
47,3255,27.4,8,64,80,20,126,10
48,3482,26.7,0,60,0,101,148,10
49,840,20.0,8,52,40,67,68,10
