Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,4203,2,1319,108,660,550,4,4-0-1,0,5
2,663,1.8,1300,115,540,500,0,4-1-0,0,5
3,5254B,1.6000000000000001,1263,118,700,400,3,3-2-0,0,5
4,1493,1.6000000000000001,1215,120,580,500,0,4-1-0,0,5
5,5030,1.6000000000000001,1096,166,600,400,1,4-1-0,0,5
6,145,1.3999999999999999,1375,365,660,550,0,3-1-1,0,5
7,20,1.3999999999999999,1238,256,580,500,8,3-1-1,0,5
8,5254,1.3999999999999999,1180,120,620,450,5,3-1-1,0,5
9,2791,1.3999999999999999,1175,180,640,400,5,3-1-1,0,5
10,4508,1.2,1185,245,620,500,0,2-2-1,0,5
11,6723,1.2,1104,123,540,450,4,3-2-0,0,5
12,716,1,1226,236,620,450,1,2-2-1,0,5
13,6300B,1,1207,66,480,550,7,2-2-1,0,5
14,250,0.80000000000000004,1255,365,540,500,0,2-3-0,0,5
15,5881,0.80000000000000004,1215,305,600,450,0,2-3-0,0,5
16,1721,0.80000000000000004,1200,310,680,400,0,1-3-1,0,5
17,1880,0.80000000000000004,1130,230,500,450,0,2-3-0,0,5
18,5943,0.80000000000000004,1050,160,560,400,0,2-3-0,0,5
19,263,0.59999999999999998,1102,187,560,450,2,1-3-1,0,5
20,6300,0.59999999999999998,1069,73,520,400,4,1-3-1,0,5
21,1517,0.40000000000000002,1120,190,520,400,0,1-4-0,0,5
22,6484,0.40000000000000002,982,247,540,350,2,1-4-0,0,5
23,3044,0.40000000000000002,947,57,440,300,2,1-4-0,0,5
24,6621,0.20000000000000001,980,185,440,350,0,0-4-1,0,5
