Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,180,9,0,0,9,18.00,27.22
2,2363,9,0,0,9,18.00,23.44
3,2614,7,2,0,9,14.00,13.88
4,343,7,2,0,9,14.00,13.66
5,900,7,2,0,9,14.00,11.77
6,1875,7,2,0,9,14.00,10.77
7,11,6,3,0,9,12.00,22.00
8,1539,6,3,0,9,12.00,16.33
9,744,6,3,0,9,12.00,13.88
10,1319,6,3,0,9,12.00,13.44
11,95,6,3,0,9,12.00,12.66
12,2751,5,4,0,9,10.00,24.88
13,3196,5,4,0,9,10.00,12.77
14,339,5,4,0,9,10.00,12.55
15,1311,5,4,0,9,10.00,11.55
16,1287,5,3,0,8,10.00,10.00
17,1225,5,2,0,7,10.00,9.66
18,21,5,4,0,9,10.00,9.33
19,342,5,4,0,9,10.00,8.33
20,1102,4,5,0,9,8.00,16.00
21,1051,4,5,0,9,8.00,15.44
22,1293,4,5,0,9,8.00,15.33
23,2815,4,5,0,9,8.00,12.88
24,1758,4,4,0,8,8.00,11.11
25,2483,4,3,0,7,8.00,10.11
26,3164,4,5,0,9,8.00,9.66
27,281,4,5,0,9,8.00,8.66
28,1522,4,5,0,9,8.00,7.66
29,1902,3,6,0,9,6.00,27.33
30,1876,3,5,0,8,6.00,22.00
31,1398,3,6,0,9,6.00,15.66
32,1026,3,5,0,8,6.00,14.66
33,1251,3,6,0,9,6.00,13.77
34,3475,3,5,0,8,6.00,10.22
35,3490,3,5,0,8,6.00,7.77
36,804,3,6,0,9,6.00,7.66
37,1553,2,7,0,9,4.00,13.00
38,2187,2,7,0,9,4.00,11.11
39,3651,2,6,0,8,4.00,7.66
40,3599,2,7,0,9,4.00,5.55
41,3371,1,8,0,9,2.00,12.22
42,1959,1,7,0,8,2.00,11.66
43,3489,1,7,0,8,2.00,8.11
