Rank,Team,Qual Avg,Coopertition,Auto,Container,Tote,Litter,DQ,Played
1,195,143,80,0,512,338,127,0,8
2,2168,130,140,72,276,206,271,0,8
3,2836,125,100,6,428,270,118,0,8
4,319,117,120,68,324,248,132,0,8
5,2067,116,20,20,300,266,222,0,8
6,5122,110,20,0,408,258,130,0,8
7,999,102,140,28,284,198,133,0,8
8,1124,102,120,4,320,196,125,0,8
9,126,99,120,56,208,182,137,0,8
10,176,98,80,0,248,164,97,0,8
11,4048,95,200,20,172,168,125,0,8
12,3719,95,80,0,252,238,91,0,8
13,839,89,100,0,192,162,101,0,8
14,2084,89,120,20,200,206,88,0,8
15,4564,88,160,20,188,166,114,0,8
16,125,88,40,0,300,232,43,0,8
17,3467,87,80,6,304,226,53,0,8
18,228,86,80,20,260,172,103,0,8
19,467,86,40,20,172,158,122,0,8
20,95,85,100,20,296,180,65,0,8
21,1058,84,140,6,212,192,68,0,8
22,121,84,140,0,224,162,91,0,8
23,1991,83,160,0,164,138,98,0,8
24,3555,83,160,0,144,152,101,0,8
25,157,82,80,8,184,174,93,0,8
26,3525,82,120,8,124,150,135,0,8
27,138,81,120,0,232,156,87,0,8
28,1289,81,120,0,208,148,105,0,8
29,3314,81,80,0,240,160,99,0,8
30,166,81,60,44,232,156,117,0,8
31,501,78,100,0,224,182,71,0,8
32,5686,77,120,0,180,150,98,0,8
33,2713,75,100,0,152,148,134,0,8
34,2262,75,40,4,124,104,118,0,8
35,230,71,180,0,184,156,44,0,8
36,172,70,60,0,184,158,83,0,8
37,2342,70,80,80,96,128,99,0,8
38,4097,70,20,0,240,182,59,0,8
39,1100,68,100,60,112,154,76,0,8
40,4176,65,80,0,168,120,89,0,8
41,5400,65,60,6,184,142,85,0,8
42,1153,61,60,20,152,164,61,0,8
43,5112,60,80,0,160,136,63,0,8
44,716,60,40,0,112,126,123,0,8
45,190,59,0,20,212,156,69,0,8
46,3958,58,80,0,120,152,64,0,8
47,131,57,80,0,156,136,36,0,8
48,1073,56,80,20,160,126,43,0,8
49,3236,56,20,0,160,140,58,0,8
50,1735,52,80,0,112,138,48,0,8
51,2079,51,40,20,160,114,48,0,8
52,181,51,20,20,132,132,94,0,8
53,885,49,60,40,100,142,57,0,8
54,2648,47,60,0,112,122,42,0,8
55,1474,43,40,20,80,100,28,0,8
