Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,694,1.75,2126,570,1080,750,1,7-1-0,0,8
2,2869,1.5,1815,220,920,550,0,6-2-0,0,8
3,4122B,1.3700000000000001,1490,255,700,550,0,5-2-1,0,8
4,5599,1.3700000000000001,1485,340,760,500,0,5-2-1,0,8
5,4055,1.25,1785,290,860,650,0,5-3-0,0,8
6,5943,1.1200000000000001,1515,190,800,450,0,4-3-1,0,8
7,4571,1,1495,280,780,450,0,4-4-0,0,8
8,806,1,1485,340,760,550,0,4-4-0,0,8
9,333,1,1475,220,680,600,0,4-4-0,0,8
10,6590,1,1450,220,760,500,0,4-4-0,0,8
11,5298,0.87,1280,260,740,250,0,3-4-1,0,8
12,3419,0.75,1680,290,860,600,0,3-5-0,0,8
13,5123,0.62,1330,210,680,350,0,2-5-1,0,8
14,4122,0.25,1281,165,660,400,1,1-7-0,0,8
15,9999,0.12,991,275,660,200,1,0-7-1,0,8
