Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,3018,22.00,101.00,70.00,123.00,6,8-1-0,0,9
2,3747,22.00,72.00,40.00,52.00,8,7-2-0,0,9
3,2508,22.00,59.00,60.00,17.00,8,7-2-0,0,9
4,2052,21.00,114.00,10.00,116.00,5,8-1-0,0,9
5,2538,20.00,91.00,70.00,32.00,6,7-2-0,0,9
6,2450,20.00,65.00,20.00,32.00,8,6-3-0,0,9
7,3184,20.00,64.00,20.00,44.00,8,6-3-0,0,9
8,3058,20.00,42.00,20.00,45.00,6,7-2-0,0,9
9,2846,19.00,63.00,80.00,9.00,6,6-2-1,0,9
10,2227,19.00,50.00,30.00,56.00,8,5-3-1,0,9
11,2825,19.00,39.00,60.00,30.00,6,6-2-1,0,9
12,2530,18.00,98.00,80.00,56.00,2,8-1-0,0,9
13,525,18.00,64.00,60.00,99.00,8,5-4-0,0,9
14,2987,18.00,52.00,30.00,56.00,8,5-4-0,0,9
15,3783,18.00,25.00,60.00,40.00,4,7-2-0,0,9
16,3007,16.00,99.00,30.00,68.00,6,5-4-0,0,9
17,2861,16.00,75.00,110.00,30.00,2,7-2-0,0,9
18,3722,16.00,60.00,20.00,22.00,8,4-5-0,0,9
19,3454,16.00,53.00,130.00,26.00,2,7-2-0,0,9
20,2502,16.00,50.00,30.00,47.00,8,4-5-0,0,9
21,3630,15.00,81.00,70.00,40.00,4,5-3-1,0,9
22,2545,15.00,47.00,10.00,41.00,4,5-3-1,0,9
23,2705,14.00,83.00,20.00,50.00,3,5-3-1,0,9
24,3082,14.00,73.00,60.00,92.00,6,4-5-0,0,9
25,2501,14.00,68.00,50.00,29.00,2,6-3-0,0,9
26,3081,14.00,67.00,40.00,49.00,2,6-3-0,0,9
27,2515,14.00,56.00,50.00,55.00,4,5-4-0,0,9
28,3100,14.00,52.00,30.00,33.00,3,5-3-1,0,9
29,2232,14.00,50.00,100.00,54.00,2,6-3-0,0,9
30,3524,14.00,40.00,70.00,35.00,6,4-5-0,0,9
31,2500,14.00,40.00,60.00,18.00,0,7-2-0,0,9
32,3297,14.00,34.00,50.00,60.00,4,5-4-0,0,9
33,3299,14.00,32.00,40.00,51.00,8,3-6-0,0,9
34,2503,14.00,32.00,0,29.00,6,4-5-0,0,9
35,3292,13.00,46.00,20.00,20.00,6,3-5-1,0,9
36,3212,13.00,38.00,20.00,43.00,7,3-6-0,0,9
37,2479,13.00,30.00,50.00,47.00,1,6-3-0,0,9
38,3642,12.00,28.00,30.00,35.00,4,4-5-0,0,9
39,4207,11.00,36.00,30.00,17.00,2,4-4-1,0,9
40,3407,11.00,23.00,30.00,25.00,4,3-5-1,0,9
41,4021,10.00,56.00,30.00,52.00,2,4-5-0,0,9
42,2511,10.00,41.00,70.00,32.00,0,5-4-0,0,9
43,2531,10.00,41.00,10.00,14.00,2,4-5-0,0,9
44,2518,10.00,40.00,40.00,46.00,2,4-5-0,0,9
45,2470,10.00,40.00,20.00,42.00,2,4-5-0,0,9
46,3723,10.00,34.00,0,23.00,4,3-6-0,0,9
47,3871,10.00,24.00,40.00,38.00,6,2-7-0,0,9
48,3313,9.00,63.00,20.00,25.00,2,3-5-1,0,9
49,3751,9.00,39.00,40.00,24.00,4,2-6-1,0,9
50,2181,9.00,36.00,10.00,24.00,2,3-5-1,0,9
51,2480,9.00,30.00,10.00,28.00,4,2-6-1,0,9
52,3765,9.00,28.00,40.00,23.00,3,3-6-0,0,9
53,2535,9.00,24.00,20.00,27.00,2,3-5-1,0,9
54,2498,8.00,34.00,10.00,31.00,4,2-7-0,0,9
55,3300,8.00,33.00,60.00,12.00,2,3-6-0,0,9
56,3090,8.00,33.00,40.00,20.00,0,4-5-0,0,9
57,3038,7.00,58.00,10.00,19.00,4,1-7-1,0,9
58,3244,6.00,44.00,20.00,35.00,0,3-6-0,0,9
59,4229,6.00,35.00,20.00,22.00,2,2-7-0,0,9
60,3745,6.00,32.00,20.00,27.00,4,1-8-0,0,9
61,4215,6.00,22.00,40.00,11.00,0,3-6-0,0,9
62,2879,5.00,30.00,10.00,27.00,0,2-6-1,0,9
63,2509,5.00,18.00,20.00,28.00,4,0-8-1,0,9
64,2532,4.00,39.00,0,17.00,0,2-7-0,0,9
65,2667,4.00,20.00,20.00,26.00,2,1-8-0,0,9
