Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,33,32.00,164.00,80.00,281.00,16,8-1-0,0,9
2,492,31.00,132.00,100.00,124.00,14,8-0-1,0,9
3,3173,30.00,187.00,110.00,174.00,14,8-1-0,0,9
4,180,30.00,181.00,110.00,237.00,16,7-2-0,0,9
5,1718,30.00,147.00,80.00,202.00,18,6-3-0,0,9
6,231,29.00,105.00,120.00,161.00,16,6-2-1,0,9
7,148,28.00,126.00,110.00,251.00,14,7-2-0,0,9
8,48,27.00,149.00,120.00,185.00,14,6-2-1,0,9
9,573,27.00,123.00,120.00,196.00,14,6-2-1,0,9
10,4394,27.00,84.00,90.00,142.00,16,5-3-1,0,9
11,2486,26.00,155.00,120.00,125.00,14,6-3-0,0,9
12,2337,26.00,155.00,70.00,159.00,12,7-2-0,0,9
13,1574,26.00,135.00,120.00,161.00,14,6-3-0,0,9
14,2054,26.00,127.00,90.00,206.00,14,6-3-0,0,9
15,1208,26.00,112.00,70.00,142.00,12,7-2-0,0,9
16,1732,26.00,82.00,120.00,182.00,12,7-2-0,0,9
17,384,25.00,115.00,110.00,119.00,10,7-1-1,0,9
18,2439,25.00,101.00,120.00,104.00,16,4-4-1,0,9
19,2016,24.00,154.00,120.00,210.00,10,7-2-0,0,9
20,358,24.00,153.00,110.00,170.00,10,7-2-0,0,9
21,3322,24.00,140.00,100.00,185.00,8,8-1-0,0,9
22,3196,24.00,137.00,50.00,123.00,12,6-3-0,0,9
23,1538,24.00,133.00,80.00,154.00,16,4-5-0,0,9
24,269,24.00,129.00,100.00,144.00,12,6-3-0,0,9
25,1038,24.00,127.00,120.00,100.00,10,7-2-0,0,9
26,533,24.00,113.00,80.00,123.00,12,6-3-0,0,9
27,16,24.00,111.00,60.00,170.00,12,6-3-0,0,9
28,870,24.00,106.00,100.00,157.00,14,5-4-0,0,9
29,3142,24.00,97.00,110.00,163.00,12,6-3-0,0,9
30,815,24.00,69.00,130.00,126.00,16,4-5-0,0,9
31,1305,23.00,97.00,90.00,75.00,18,2-6-1,0,9
32,1671,22.00,190.00,70.00,166.00,14,4-5-0,0,9
33,1323,22.00,164.00,60.00,256.00,8,7-2-0,0,9
34,3103,22.00,161.00,130.00,150.00,10,6-3-0,0,9
35,868,22.00,152.00,60.00,220.00,10,6-3-0,0,9
36,25,22.00,152.00,40.00,247.00,10,6-3-0,0,9
37,801,22.00,129.00,110.00,144.00,12,5-4-0,0,9
38,3453,22.00,124.00,100.00,90.00,16,3-6-0,0,9
39,1831,22.00,117.00,60.00,122.00,12,5-4-0,0,9
40,1583,22.00,110.00,90.00,121.00,16,3-6-0,0,9
41,3530,22.00,107.00,80.00,98.00,12,5-4-0,0,9
42,766,22.00,102.00,110.00,94.00,16,3-6-0,0,9
43,342,22.00,83.00,50.00,90.00,12,5-4-0,0,9
44,771,22.00,79.00,90.00,82.00,16,3-6-0,0,9
45,103,21.00,134.00,40.00,179.00,10,5-3-1,0,9
46,744,20.00,171.00,100.00,193.00,14,3-6-0,0,9
47,125,20.00,155.00,60.00,119.00,12,4-5-0,0,9
48,568,20.00,148.00,50.00,83.00,14,3-6-0,0,9
49,2090,20.00,134.00,60.00,154.00,10,5-4-0,0,9
50,1212,20.00,132.00,50.00,111.00,10,5-4-0,0,9
51,3574,20.00,114.00,90.00,110.00,14,3-6-0,0,9
52,527,20.00,114.00,50.00,175.00,12,4-5-0,0,9
53,1747,20.00,110.00,50.00,104.00,12,4-5-0,0,9
54,2341,20.00,99.00,80.00,117.00,10,5-4-0,0,9
55,237,20.00,95.00,100.00,113.00,10,5-4-0,0,9
56,2642,20.00,89.00,110.00,171.00,10,5-4-0,0,9
57,4159,20.00,87.00,110.00,126.00,12,4-5-0,0,9
58,4057,20.00,86.00,140.00,110.00,14,3-6-0,0,9
59,4146,20.00,86.00,40.00,119.00,14,3-6-0,0,9
60,8,20.00,77.00,100.00,78.00,14,3-6-0,0,9
61,151,20.00,75.00,80.00,100.00,10,5-3-0,1,9
62,2377,20.00,68.00,80.00,163.00,8,6-3-0,0,9
63,1918,19.00,164.00,80.00,176.00,10,4-4-1,0,9
64,4031,19.00,106.00,30.00,110.00,12,3-5-1,0,9
65,4099,19.00,99.00,90.00,105.00,12,3-4-1,1,9
66,1382,19.00,96.00,50.00,116.00,12,3-5-1,0,9
67,2010,18.00,135.00,110.00,165.00,4,7-2-0,0,9
68,1350,18.00,128.00,90.00,139.00,8,5-4-0,0,9
69,3259,18.00,121.00,80.00,105.00,10,4-5-0,0,9
70,2158,18.00,113.00,40.00,123.00,16,1-8-0,0,9
71,3925,18.00,109.00,100.00,105.00,12,3-6-0,0,9
72,2928,18.00,105.00,90.00,133.00,6,6-3-0,0,9
73,4372,18.00,100.00,130.00,91.00,12,3-6-0,0,9
