Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,16,36.00,157.00,20.00,198.00,14,11-0-0,0,11
2,148,33.00,97.00,40.00,129.00,17,8-3-0,0,11
3,2949,29.00,120.00,60.00,53.00,14,7-3-1,0,11
4,111,28.00,154.00,30.00,111.00,10,9-2-0,0,11
5,71,28.00,139.00,40.00,118.00,8,10-1-0,0,11
6,1625,28.00,124.00,30.00,142.00,14,7-4-0,0,11
7,2781,28.00,113.00,60.00,76.00,16,6-5-0,0,11
8,3928,27.00,143.00,20.00,86.00,11,8-3-0,0,11
9,2358,26.00,110.00,10.00,94.00,8,9-2-0,0,11
10,3061,26.00,104.00,40.00,103.00,8,9-2-0,0,11
11,3067,24.00,120.00,60.00,77.00,6,9-2-0,0,11
12,3494,24.00,111.00,40.00,85.00,10,7-4-0,0,11
13,3695,23.00,69.00,30.00,34.00,15,4-7-0,0,11
14,3186,23.00,66.00,60.00,70.00,11,6-5-0,0,11
15,3936,22.00,127.00,30.00,61.00,8,7-4-0,0,11
16,4212,21.00,48.00,80.00,115.00,8,6-4-1,0,11
17,2709,20.00,101.00,40.00,76.00,4,8-3-0,0,11
18,3135,20.00,67.00,80.00,94.00,6,7-4-0,0,11
19,4096,20.00,63.00,70.00,51.00,14,3-8-0,0,11
20,4081,20.00,55.00,20.00,58.00,10,5-6-0,0,11
21,3177,20.00,53.00,20.00,58.00,10,5-6-0,0,11
22,3942,20.00,21.00,20.00,46.00,10,5-6-0,0,11
23,1739,19.00,36.00,0,46.00,12,3-7-1,0,11
24,1710,18.00,112.00,20.00,66.00,6,6-4-0,1,11
25,4292,18.00,84.00,20.00,82.00,8,5-6-0,0,11
26,2338,18.00,74.00,50.00,101.00,6,6-5-0,0,11
27,2803,18.00,74.00,20.00,48.00,8,5-5-0,1,11
28,2725,18.00,60.00,10.00,43.00,10,4-7-0,0,11
29,4213,18.00,42.00,40.00,79.00,6,6-5-0,0,11
30,648,18.00,30.00,70.00,78.00,10,3-6-2,0,11
31,3595,17.00,67.00,20.00,48.00,6,5-5-1,0,11
32,2151,16.00,73.00,40.00,44.00,4,6-5-0,0,11
33,1781,16.00,67.00,70.00,54.00,6,5-6-0,0,11
34,101,16.00,67.00,20.00,82.00,8,4-7-0,0,11
35,4324,16.00,51.00,10.00,54.00,12,2-9-0,0,11
36,4314,16.00,40.00,20.00,57.00,8,4-7-0,0,11
37,2462,16.00,30.00,50.00,43.00,4,6-4-0,1,11
38,1850,15.00,32.00,10.00,77.00,9,3-8-0,0,11
39,4302,14.00,55.00,60.00,47.00,4,5-6-0,0,11
40,2136,14.00,40.00,30.00,80.00,6,4-5-0,2,11
41,4129,14.00,32.00,20.00,43.00,8,3-7-0,1,11
42,3110,13.00,48.00,10.00,51.00,4,4-6-1,0,11
43,3488,13.00,35.00,10.00,55.00,8,2-8-1,0,11
44,4241,12.00,47.00,30.00,45.00,6,3-8-0,0,11
45,3734,12.00,35.00,30.00,39.00,8,1-8-2,0,11
46,2022,12.00,23.00,30.00,47.00,6,3-8-0,0,11
47,4037,12.00,17.00,10.00,55.00,6,3-8-0,0,11
48,3994,11.00,38.00,60.00,63.00,4,3-7-1,0,11
49,2704,7.00,23.00,10.00,54.00,4,1-9-1,0,11
