Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,525,9,0,0,9,18.00,54.67,98
2,2513,7,1,1,9,15.00,26.44,56
3,93,7,2,0,9,14.00,44.44,86
4,1816,7,2,0,9,14.00,38.89,86
5,2531,7,2,0,9,14.00,36.67,98
6,877,7,2,0,9,14.00,36.44,62
7,2472,7,2,0,9,14.00,29.11,80
8,2232,6,2,1,9,13.00,30.22,62
9,2500,6,3,0,9,12.00,27.33,42
10,2227,5,3,1,9,11.00,27.33,76
11,2241,5,3,1,9,11.00,26.89,92
12,2169,5,4,0,9,10.00,40.22,80
13,876,5,4,0,9,10.00,36.00,76
14,1756,5,4,0,9,10.00,35.56,70
15,2177,5,4,0,9,10.00,35.33,92
16,2418,5,4,0,9,10.00,34.00,62
17,939,5,4,0,9,10.00,27.33,54
18,2529,5,4,0,9,10.00,24.89,52
19,2503,5,4,0,9,10.00,24.44,44
20,2518,5,4,0,9,10.00,24.00,48
21,2511,5,4,0,9,10.00,24.00,44
22,2207,5,4,0,9,10.00,21.78,68
23,2502,5,4,0,9,10.00,20.89,42
24,2264,5,4,0,9,10.00,17.78,66
25,2498,4,4,1,9,9.00,33.33,68
26,2239,4,4,1,9,9.00,25.33,80
27,2401,4,4,1,9,9.00,25.33,54
28,2510,4,5,0,9,8.00,29.33,58
29,2572,3,4,2,9,8.00,25.33,56
30,2480,4,5,0,9,8.00,23.33,44
31,2508,4,5,0,9,8.00,22.89,48
32,2488,4,5,0,9,8.00,21.56,48
33,2515,4,5,0,9,8.00,21.33,58
34,2220,4,5,0,9,8.00,21.11,66
35,2514,4,5,0,9,8.00,20.22,40
36,2525,4,5,0,9,8.00,18.89,52
37,2509,3,4,2,9,8.00,16.00,42
38,2052,3,5,1,9,7.00,36.44,98
39,2225,3,5,1,9,7.00,27.56,70
40,2175,3,5,1,9,7.00,23.33,50
41,2499,3,5,1,9,7.00,22.00,58
42,2532,3,5,1,9,7.00,19.56,42
43,2479,3,5,1,9,7.00,17.33,42
44,1987,3,6,0,9,6.00,31.11,68
45,2491,3,6,0,9,6.00,26.89,50
46,2470,3,6,0,9,6.00,22.89,52
47,2450,3,6,0,9,6.00,22.67,68
48,2501,3,6,0,9,6.00,22.44,58
49,2654,3,6,0,9,6.00,22.44,48
50,2512,2,6,1,9,5.00,17.56,42
51,2194,2,7,0,9,4.00,28.00,80
52,1623,2,7,0,9,4.00,25.56,86
53,2181,2,7,0,9,4.00,19.33,70
54,878,2,7,0,9,4.00,13.56,60
