Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,1418,39.0,341.0,225.0,273.0,725.0,10-2-0,12
2,339,37.0,340.0,170.0,316.0,660.0,9-2-1,12
3,3389,37.0,312.0,205.0,280.0,695.0,9-3-0,12
4,1086,36.0,325.0,185.0,314.0,690.0,9-3-0,12
5,401,35.0,317.0,185.0,299.0,680.0,8-4-0,12
6,422,35.0,313.0,170.0,255.0,695.0,8-4-0,12
7,4242,34.0,341.0,180.0,281.0,695.0,7-5-0,12
8,836,34.0,319.0,200.0,273.0,650.0,7-4-1,12
9,623,34.0,318.0,235.0,209.0,710.0,9-2-1,12
10,1262,33.0,351.0,180.0,233.0,720.0,8-4-0,12
11,122,33.0,331.0,175.0,311.0,690.0,7-5-0,12
12,1137,33.0,324.0,190.0,226.0,725.0,7-5-0,12
13,4505,33.0,314.0,155.0,309.0,690.0,6-5-1,12
14,5279,32.0,340.0,200.0,279.0,705.0,7-5-0,12
15,2377,32.0,326.0,260.0,231.0,690.0,7-5-0,12
16,540,32.0,292.0,185.0,235.0,650.0,9-3-0,12
17,1731,31.0,337.0,185.0,338.0,690.0,7-5-0,12
18,5546,31.0,336.0,255.0,218.0,660.0,7-5-0,12
19,3872,31.0,318.0,165.0,277.0,705.0,7-5-0,12
20,3941,31.0,302.0,175.0,252.0,635.0,7-5-0,12
21,4286,30.0,337.0,180.0,205.0,690.0,7-5-0,12
22,2068,30.0,332.0,145.0,239.0,700.0,7-5-0,12
23,5804,30.0,304.0,155.0,260.0,665.0,7-5-0,12
24,1413,30.0,303.0,175.0,258.0,680.0,7-5-0,12
25,5115,29.0,302.0,180.0,209.0,700.0,7-5-0,12
26,4945,29.0,300.0,190.0,239.0,645.0,7-5-0,12
27,346,28.0,344.0,220.0,276.0,675.0,7-5-0,12
28,384,28.0,318.0,185.0,296.0,670.0,6-6-0,12
29,888,27.0,344.0,175.0,191.0,695.0,4-7-1,12
30,1599,27.0,332.0,145.0,253.0,685.0,6-5-1,12
31,612,27.0,320.0,195.0,219.0,660.0,6-6-0,12
32,686,27.0,312.0,195.0,323.0,690.0,3-8-1,12
33,449,27.0,308.0,195.0,220.0,675.0,5-6-1,12
34,2534,26.0,369.0,235.0,200.0,695.0,5-7-0,12
35,116,26.0,300.0,205.0,240.0,660.0,6-6-0,12
36,5957,26.0,290.0,195.0,151.0,655.0,6-6-0,12
37,2028,26.0,280.0,200.0,226.0,665.0,5-7-0,12
38,3455,25.0,336.0,170.0,281.0,700.0,4-7-1,12
39,2912,25.0,334.0,170.0,201.0,700.0,5-6-1,12
40,5841,25.0,320.0,160.0,220.0,705.0,6-6-0,12
41,1629,25.0,302.0,185.0,227.0,680.0,5-7-0,12
42,1111,25.0,300.0,175.0,197.0,690.0,5-7-0,12
43,1885,25.0,282.0,200.0,200.0,670.0,3-8-1,12
44,1610,24.0,334.0,170.0,281.0,690.0,4-8-0,12
45,1829,24.0,315.0,150.0,201.0,695.0,4-8-0,12
46,2363,24.0,283.0,240.0,265.0,650.0,4-8-0,12
47,2849,23.0,340.0,190.0,207.0,720.0,4-7-1,12
48,5338,23.0,337.0,200.0,205.0,700.0,5-7-0,12
49,1895,23.0,320.0,160.0,190.0,715.0,4-8-0,12
50,977,23.0,310.0,165.0,166.0,650.0,5-7-0,12
51,1389,23.0,294.0,160.0,203.0,660.0,4-8-0,12
52,4456,21.0,342.0,155.0,192.0,750.0,4-8-0,12
53,4638,21.0,322.0,140.0,260.0,670.0,4-8-0,12
54,2537,21.0,296.0,160.0,227.0,650.0,4-8-0,12
55,6194,20.0,344.0,150.0,198.0,705.0,4-8-0,12
56,1719,20.0,332.0,165.0,193.0,675.0,4-8-0,12
57,2421,20.0,308.0,180.0,209.0,650.0,3-9-0,12
58,5587,14.0,306.0,140.0,138.0,685.0,1-11-0,12
