Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,118,3.3700000000000001,2914,635,1180,1100,449,8-0-0,0,8
2,3310,2.8700000000000001,2649,694,1280,950,294,6-2-0,0,8
3,148,2.75,2915,772,1220,1150,370,7-1-0,0,8
4,5414,2.25,2639,487,1160,1100,214,6-2-0,0,8
5,624,2.1200000000000001,2621,650,1360,1050,86,5-3-0,0,8
6,4063,2,2552,566,1340,950,37,5-3-0,0,8
7,6357,2,2482,505,1220,1000,97,5-3-0,0,8
8,3366,2,2375,630,1180,950,110,6-2-0,0,8
9,5960,1.8700000000000001,2357,571,1240,750,147,4-4-0,0,8
10,6547,1.75,2601,676,1200,1050,126,5-3-0,0,8
11,5427,1.75,2568,526,1360,950,63,3-5-0,0,8
12,3005,1.6200000000000001,2590,623,1200,1150,40,5-3-0,0,8
13,5417,1.6200000000000001,2404,635,1240,950,69,4-4-0,0,8
14,6133,1.6200000000000001,2299,497,1240,800,59,4-4-0,0,8
15,5572,1.5,2487,553,1160,1050,127,4-4-0,0,8
16,4587,1.5,2474,675,1240,1000,104,4-4-0,0,8
17,6321,1.5,2427,636,1060,1000,172,4-4-0,0,8
18,2468,1.5,2426,648,1280,850,81,3-5-0,0,8
19,1296,1.5,2419,538,1220,1000,59,4-4-0,0,8
20,1477,1.3700000000000001,2565,477,1180,1100,110,3-5-0,0,8
21,418,1.3700000000000001,2445,614,1240,1050,40,4-4-0,0,8
22,3335,1.3700000000000001,2401,568,1300,750,106,2-6-0,0,8
23,1255,1.25,2293,632,1160,900,43,4-4-0,0,8
24,2582,1.25,2287,623,1120,950,37,4-4-0,0,8
25,1817,1.25,2285,450,1060,1000,75,4-4-0,0,8
26,2158,1,2324,404,1040,1000,49,3-5-0,0,8
27,5981,1,2264,403,1040,1000,89,3-5-0,0,8
28,5892,0.87,2285,459,1140,950,50,2-6-0,0,8
29,5908,0.75,2226,490,1020,950,136,2-6-0,0,8
30,4641,0.75,2017,306,980,900,22,3-5-0,0,8
31,457,0.62,2222,569,1020,1000,47,2-6-0,0,8
32,6155,,2115,535,1020,950,0,0-8-0,0,8
