Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,399,28.00,93.00,110.00,206.00,8,10-1-0,0,11
2,2122,26.00,114.00,70.00,125.00,10,8-3-0,0,11
3,1158,24.00,137.00,50.00,92.00,6,9-2-0,0,11
4,1569,22.00,85.00,40.00,95.00,8,7-4-0,0,11
5,2484,22.00,81.00,20.00,70.00,8,7-4-0,0,11
6,3483,22.00,51.00,30.00,84.00,10,6-5-0,0,11
7,2789,20.00,45.00,90.00,76.00,6,7-4-0,0,11
8,2993,18.00,101.00,30.00,90.00,4,7-4-0,0,11
9,3239,18.00,67.00,0,111.00,2,8-3-0,0,11
10,1332,18.00,64.00,30.00,137.00,6,6-5-0,0,11
11,2403,18.00,58.00,80.00,62.00,0,9-2-0,0,11
12,3716,18.00,55.00,50.00,63.00,4,7-4-0,0,11
13,3230,17.00,87.00,70.00,111.00,8,4-6-1,0,11
14,4153,16.00,94.00,30.00,91.00,0,8-3-0,0,11
15,2486,16.00,92.00,50.00,81.00,2,7-4-0,0,11
16,3245,16.00,64.00,50.00,81.00,4,6-5-0,0,11
17,4348,16.00,32.00,40.00,128.00,8,4-7-0,0,11
18,3334,15.00,51.00,40.00,54.00,4,5-5-1,0,11
19,1377,14.00,79.00,30.00,78.00,2,6-5-0,0,11
20,4106,14.00,72.00,30.00,51.00,0,7-4-0,0,11
21,4183,14.00,66.00,40.00,70.00,2,6-5-0,0,11
22,3960,14.00,48.00,50.00,37.00,6,4-7-0,0,11
23,4251,14.00,46.00,10.00,63.00,6,4-7-0,0,11
24,3456,14.00,39.00,80.00,68.00,6,4-7-0,0,11
25,3225,14.00,36.00,30.00,50.00,8,3-6-0,2,11
26,3006,13.00,55.00,30.00,64.00,2,5-5-1,0,11
27,473,12.00,80.00,100.00,63.00,0,6-5-0,0,11
28,3374,12.00,69.00,10.00,62.00,4,4-7-0,0,11
29,4178,12.00,69.00,10.00,57.00,2,5-6-0,0,11
30,4310,12.00,51.00,40.00,87.00,4,4-7-0,0,11
31,3405,12.00,22.00,50.00,56.00,6,3-8-0,0,11
32,3243,11.00,34.00,90.00,70.00,0,5-5-1,0,11
33,3251,11.00,29.00,90.00,39.00,2,4-6-1,0,11
34,1566,10.00,82.00,20.00,52.00,4,3-8-0,0,11
35,3241,10.00,65.00,60.00,70.00,0,5-6-0,0,11
36,3289,10.00,51.00,30.00,41.00,2,4-7-0,0,11
37,4344,10.00,41.00,40.00,50.00,2,4-7-0,0,11
38,4175,10.00,29.00,50.00,52.00,2,4-7-0,0,11
39,1891,10.00,27.00,70.00,54.00,2,4-7-0,0,11
40,3288,8.00,60.00,20.00,62.00,4,2-9-0,0,11
41,4268,8.00,43.00,70.00,31.00,2,3-7-0,1,11
42,2594,8.00,14.00,40.00,34.00,0,4-7-0,0,11
43,2196,4.00,33.00,30.00,31.00,0,2-4-0,5,11
