Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,148,195.7,196,688,400,203,476,10
2,1114,195.0,180,784,200,312,492,10
3,107,178.6,200,588,280,174,544,10
4,3663,160.5,40,716,160,211,490,10
5,4450,160.2,40,616,280,232,440,10
6,701,159.7,40,652,240,253,424,10
7,230,158.3,48,632,340,123,452,10
8,303,155.3,40,692,180,193,448,10
9,4613,154.1,128,600,240,115,482,10
10,4143,153.8,20,600,260,284,380,10
11,379,153.4,60,604,220,178,472,10
12,1574,150.0,60,716,120,206,422,10
13,57,146.2,20,460,340,192,456,10
14,3937,145.0,0,616,260,120,466,10
15,3309,143.6,140,584,160,178,386,10
16,3959,143.1,80,452,200,303,402,10
17,5407,143.0,68,564,240,230,334,10
18,610,142.8,80,516,280,228,324,10
19,70,142.8,126,600,200,112,408,10
20,948,140.8,180,436,280,132,410,10
21,4048,139.6,20,468,360,234,326,10
22,1156,139.0,40,600,220,168,368,10
23,5046,138.9,80,564,160,207,384,10
24,56,138.1,40,472,280,165,430,10
25,341,138.1,100,500,200,145,436,10
26,3495,133.0,20,416,240,302,352,10
27,5603,132.9,40,420,320,219,348,10
28,2994,131.5,60,396,300,203,356,10
29,228,131.4,60,592,100,164,422,10
30,3452,129.9,20,432,320,177,350,10
31,1305,129.9,40,528,240,193,322,10
32,3008,129.4,60,416,280,150,394,10
33,88,127.9,26,460,320,171,302,10
34,120,127.3,0,580,120,189,390,10
35,176,126.8,40,428,320,208,290,10
36,3974,126.5,60,460,260,189,296,10
37,2557,126.4,20,524,120,214,398,10
38,1318,125.1,24,528,120,181,410,10
39,649,123.9,40,348,280,227,344,10
40,1086,122.1,40,416,200,199,378,10
41,123,119.5,40,432,240,167,334,10
42,4909,118.5,20,444,220,153,378,10
43,1816,118.3,40,488,180,147,346,10
44,4061,118.1,20,524,120,137,392,10
45,842,117.7,0,508,120,213,348,10
46,2457,116.7,40,452,220,157,328,10
47,5735,116.2,20,452,160,144,404,10
48,4498,115.9,40,344,320,127,334,10
49,271,114.0,0,396,160,286,310,10
50,369,113.6,40,448,160,122,384,10
51,702,111.8,40,388,260,114,316,10
52,2996,111.5,0,472,140,165,350,10
53,2046,110.1,40,464,120,143,346,10
54,4146,109.4,40,436,120,152,358,10
55,1319,107.5,0,436,160,165,320,10
56,5472,107.1,20,316,280,129,338,10
57,5586,106.2,20,388,240,176,268,10
58,4355,105.6,40,344,160,170,354,10
59,4073,105.1,20,408,160,179,302,10
60,1506,104.7,48,376,240,87,302,10
61,2594,103.5,0,324,220,113,384,10
62,1923,102.8,6,312,200,134,382,10
63,5572,101.2,20,360,160,130,348,10
64,5737,101.2,4,368,120,198,340,10
65,708,99.9,20,308,240,169,262,10
66,4468,97.7,0,288,160,135,418,10
67,4595,95.9,40,372,80,169,316,10
68,1622,95.4,20,284,200,176,274,10
69,4593,93.0,20,308,160,156,292,10
70,5585,91.8,40,356,120,104,310,10
71,5654,91.7,40,340,120,123,306,10
72,3193,91.5,24,308,200,127,292,10
73,339,89.2,20,272,200,108,310,10
74,4653,87.3,20,332,160,109,264,10
75,900,84.4,20,284,160,150,230,10
76,4080,82.0,40,344,40,136,266,10
