Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,694,2.42,240,189,1461,180,6-1-0,0,7
2,4571,1.85,270,186,1343,200,5-2-0,0,7
3,694C,1.85,270,168,1427,190,6-1-0,0,7
4,6880,1.85,250,144,1135,170,5-2-0,0,7
5,2601,1.71,245,219,1373,190,4-3-0,0,7
6,395,1.71,245,147,1183,145,5-2-0,0,7
7,3419,1.71,190,173,1135,145,4-3-0,0,7
8,806,1.57,245,141,1020,170,4-3-0,0,7
9,354,1.42,255,164,1309,195,4-3-0,0,7
10,1796,1.28,250,235,1090,145,2-5-0,0,7
11,694B,1.14,265,207,1057,145,3-4-0,0,7
12,5599,1.14,260,154,885,215,2-5-0,0,7
13,6590,1.14,250,220,1241,170,2-5-0,0,7
14,2869,0.85,270,199,1281,285,2-5-0,0,7
15,5123,0.57,205,89,842,155,2-5-0,0,7
16,2579,0.42,265,193,745,150,0-7-0,0,7
