Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,6070,2,230,141,1095,235,4-2-0,0,6
2,3571,2,180,116,1191,125,5-1-0,0,6
3,746,2,125,126,1172,130,5-1-0,0,6
4,4914,1.83,230,122,1119,185,5-1-0,0,6
5,5036,1.83,215,159,1129,135,4-2-0,0,6
6,6110,1.83,200,175,1282,170,3-3-0,0,6
7,9987,1.83,195,101,1253,130,5-1-0,0,6
8,4951,1.83,120,126,1020,110,4-2-0,0,6
9,5719,1.66,190,131,1052,115,4-2-0,0,6
10,6135,1.66,185,222,1002,180,2-4-0,0,6
11,4992,1.66,185,105,1167,180,4-2-0,0,6
12,6977,1.5,190,113,1018,165,4-2-0,0,6
13,4152,1.33,180,109,779,135,3-3-0,0,6
14,6975,1.33,140,131,1028,110,3-3-0,0,6
15,4308,1.16,185,142,983,130,2-4-0,0,6
16,6141,1.16,155,129,774,130,2-4-0,0,6
17,5031,1.16,135,81,1060,150,3-3-0,0,6
18,865,1,210,105,976,125,3-3-0,0,6
19,2935,1,160,88,1003,115,2-4-0,0,6
20,9986,1,120,103,743,90,2-4-0,0,6
21,5428,0.83,230,125,931,160,2-4-0,0,6
22,5921,0.83,205,97,984,180,2-4-0,0,6
23,2634,0.83,145,121,1083,165,2-4-0,0,6
24,771,0.83,115,82,814,95,2-4-0,0,6
25,4015,0.5,185,99,878,165,1-5-0,0,6
26,6140,0.33,180,110,507,170,0-6-0,0,6
