Rank,Team,RP,Match,Auto,Rotor,Touchpad,Pressure,W-L-T,DQ,Played
1,973,2.6000000000000001,3202,677,1300,1200,497,8-2-0,0,10
2,3925,2,2820,754,1420,1100,110,8-1-1,0,10
3,3309,1.8999999999999999,2857,863,1340,1000,292,7-3-0,0,10
4,6554,1.8,2791,422,1280,1100,56,8-2-0,0,10
5,330,1.8,2726,764,1480,850,221,6-4-0,0,10
6,399,1.8,2577,545,1440,900,67,7-3-0,0,10
7,3473,1.7,2947,654,1480,1150,107,6-4-0,0,10
8,3476,1.7,2898,821,1600,1000,98,5-4-1,0,10
9,3647,1.7,2766,621,1560,950,16,6-4-0,0,10
10,2637,1.7,2681,733,1460,850,126,7-3-0,0,10
11,4201,1.7,2676,561,1320,1050,171,7-3-0,0,10
12,294,1.6000000000000001,2427,530,1180,850,257,7-3-0,0,10
13,4322,1.5,2857,636,1400,1150,62,7-3-0,0,10
14,4276,1.5,2789,662,1440,1050,124,6-4-0,0,10
15,597,1.3999999999999999,2603,462,1340,1000,63,5-4-1,0,10
16,5802,1.3999999999999999,2569,494,1300,1000,94,5-5-0,0,10
17,6072,1.3,2522,604,1320,1050,32,6-4-0,0,10
18,1661,1.2,2717,736,1340,1100,72,5-5-0,0,10
19,5199,1.2,2597,752,1300,1000,132,5-5-0,0,10
20,4079,1.2,2578,466,1340,950,53,5-4-1,0,10
21,5805,1.2,2492,484,1180,1000,87,5-5-0,0,10
22,2659,1.1000000000000001,2444,575,1320,850,134,3-7-0,0,10
23,696,1.1000000000000001,2368,555,1460,700,18,4-6-0,0,10
24,1197,1,2572,561,1320,900,97,4-6-0,0,10
25,599,1,2527,562,1360,850,107,3-7-0,0,10
26,968,0.90000000000000002,2658,576,1300,1150,48,3-6-1,0,10
27,6535,0.90000000000000002,2165,517,1320,600,70,4-6-0,0,10
28,4501,0.80000000000000004,2249,283,1260,850,19,4-6-0,0,10
29,5966,0.80000000000000004,2237,624,1060,750,107,3-7-0,0,10
30,4619,0.80000000000000004,2197,445,1180,800,27,4-6-0,0,10
31,4,0.69999999999999996,2335,411,1320,700,75,2-8-0,0,10
32,60,0.69999999999999996,2206,530,1000,950,81,3-7-0,0,10
33,4999,0.69999999999999996,2118,550,1200,650,63,3-7-0,0,10
34,1160,0.5,2105,507,1120,800,15,2-7-1,0,10
35,980,0.5,2075,467,1260,600,85,2-8-0,0,10
36,2493,0.5,2061,464,1020,850,51,2-7-0,1,10
